,Dimensionality,Parcels,Subject,Network
0,0.6377631245029751,1,02,VIS1
1,0.7734468381464045,1,03,VIS1
2,0.7630623266388302,1,04,VIS1
3,0.8441683777949412,1,06,VIS1
4,0.511240928819463,1,08,VIS1
5,0.4238206193995155,1,09,VIS1
6,0.46528616491822944,1,10,VIS1
7,0.2269383384436831,1,12,VIS1
8,0.7396617975922536,1,14,VIS1
9,0.31587736608661054,1,15,VIS1
10,0.06185319387947771,1,18,VIS1
11,0.49255699084609966,1,20,VIS1
12,0.3423369412868909,1,22,VIS1
13,0.4787405171016377,1,25,VIS1
14,1.289692054143709,1,27,VIS1
15,0.7973288870927506,1,29,VIS1
16,0.7132549108649542,1,31,VIS1
17,0.5019511411912991,1,17,VIS1
18,0.5414668416360967,1,19,VIS1
19,0.26052411715472046,1,21,VIS1
20,1.0382520919859113,1,24,VIS1
21,0.9713535101473016,1,26,VIS1
22,0.18906352847164914,1,28,VIS1
23,0.7377069628072069,1,30,VIS1
24,0.48633042988608516,2,02,VIS2
25,0.3056530569611989,2,03,VIS2
26,0.25064454661433266,2,04,VIS2
27,0.5630886888731682,2,06,VIS2
28,0.03480927173810033,2,08,VIS2
29,0.14850062881221865,2,09,VIS2
30,0.2901110230547775,2,10,VIS2
31,0.010039441173724888,2,12,VIS2
32,0.12191089767307856,2,14,VIS2
33,0.26920861477114316,2,15,VIS2
34,0.03325601185822502,2,18,VIS2
35,0.0553703229055652,2,20,VIS2
36,0.3622917613150548,2,22,VIS2
37,0.2533636935059358,2,25,VIS2
38,0.9680739694749628,2,27,VIS2
39,0.13966476333380423,2,29,VIS2
40,0.009438683388555432,2,31,VIS2
41,0.21593441834152535,2,17,VIS2
42,0.3318934101491467,2,19,VIS2
43,0.18114316836756297,2,21,VIS2
44,0.09732879680913382,2,24,VIS2
45,0.08073315801695376,2,26,VIS2
46,0.14647089545185202,2,28,VIS2
47,0.06080177650226414,2,30,VIS2
48,0.38049956855713823,3,02,VIS2
49,0.6366938646033143,3,03,VIS2
50,0.007640842655328401,3,04,VIS2
51,0.22699410604515166,3,06,VIS2
52,0.08419734200598367,3,08,VIS2
53,0.0914339421505758,3,09,VIS2
54,0.004608882135477024,3,10,VIS2
55,0.08063864851604789,3,12,VIS2
56,0.25061168228048797,3,14,VIS2
57,0.041700412463121624,3,15,VIS2
58,0.002884981497742808,3,18,VIS2
59,0.1674276331088008,3,20,VIS2
60,0.18971863842607323,3,22,VIS2
61,0.058134939262041885,3,25,VIS2
62,0.5467556021400901,3,27,VIS2
63,0.16904011121186338,3,29,VIS2
64,0.23104718441241642,3,31,VIS2
65,0.18827296421199488,3,17,VIS2
66,0.22413739718196912,3,19,VIS2
67,0.016923260739993992,3,21,VIS2
68,0.2237445362114552,3,24,VIS2
69,0.0418991125325307,3,26,VIS2
70,0.10095358171880935,3,28,VIS2
71,0.0007177598802110182,3,30,VIS2
72,1.1297083315839145,4,02,VIS2
73,0.967557173931276,4,03,VIS2
74,0.5395611792146366,4,04,VIS2
75,0.8341891828406869,4,06,VIS2
76,0.4032671516459632,4,08,VIS2
77,0.6511555338936011,4,09,VIS2
78,0.2793530115330371,4,10,VIS2
79,0.35145429023519265,4,12,VIS2
80,0.75789659359533,4,14,VIS2
81,0.4000312806022379,4,15,VIS2
82,0.150167239531267,4,18,VIS2
83,0.6644802103231386,4,20,VIS2
84,0.41103414708824165,4,22,VIS2
85,0.5932650730333765,4,25,VIS2
86,1.6707960664363113,4,27,VIS2
87,0.7105145486230725,4,29,VIS2
88,0.5017797339129224,4,31,VIS2
89,0.4424159701106273,4,17,VIS2
90,0.7825090422887497,4,19,VIS2
91,0.13074181025280432,4,21,VIS2
92,1.143450869354759,4,24,VIS2
93,1.1501247355863058,4,26,VIS2
94,0.37260838882934577,4,28,VIS2
95,1.4144217587920132,4,30,VIS2
96,1.2375027752294077,5,02,VIS2
97,0.7033515949693523,5,03,VIS2
98,0.9787754610694235,5,04,VIS2
99,0.6719919830699528,5,06,VIS2
100,0.25095186248827667,5,08,VIS2
101,0.5687768196980679,5,09,VIS2
102,0.40816696165170147,5,10,VIS2
103,0.34826958485918613,5,12,VIS2
104,0.7108199788558964,5,14,VIS2
105,0.47711082936195026,5,15,VIS2
106,0.14946519036717942,5,18,VIS2
107,0.4489943687809563,5,20,VIS2
108,0.5046181117052673,5,22,VIS2
109,0.7366799693141384,5,25,VIS2
110,1.5573498687347738,5,27,VIS2
111,0.5572333908921099,5,29,VIS2
112,0.27400144490448114,5,31,VIS2
113,0.46351702642977116,5,17,VIS2
114,0.5114439515212079,5,19,VIS2
115,0.13716441989960942,5,21,VIS2
116,0.8397797494937665,5,24,VIS2
117,0.9869227044995751,5,26,VIS2
118,0.14411193635297875,5,28,VIS2
119,0.6898723497877767,5,30,VIS2
120,0.9406361269249365,6,02,VIS2
121,0.5483845749713343,6,03,VIS2
122,0.893150138258975,6,04,VIS2
123,0.36445130361926015,6,06,VIS2
124,0.4257629883084077,6,08,VIS2
125,0.43192440341244603,6,09,VIS2
126,0.48937777411743133,6,10,VIS2
127,0.44082100392946844,6,12,VIS2
128,0.3889915784561746,6,14,VIS2
129,0.30513938214528397,6,15,VIS2
130,0.24041100422913483,6,18,VIS2
131,0.11297310805855362,6,20,VIS2
132,0.3364008492058233,6,22,VIS2
133,0.6164976648980693,6,25,VIS2
134,1.4621055368932805,6,27,VIS2
135,0.2640130238083507,6,29,VIS2
136,0.19825414880861958,6,31,VIS2
137,0.40170969011649793,6,17,VIS2
138,0.282407477706568,6,19,VIS2
139,0.049048663976456484,6,21,VIS2
140,0.5628022989729153,6,24,VIS2
141,0.935733061485719,6,26,VIS2
142,0.2539234285080848,6,28,VIS2
143,0.32453039598933003,6,30,VIS2
144,0.9938968369499347,7,02,VIS2
145,0.46461371234554055,7,03,VIS2
146,0.1529257879145751,7,04,VIS2
147,0.17879084152654687,7,06,VIS2
148,0.055806739881733465,7,08,VIS2
149,0.2795058320227626,7,09,VIS2
150,0.3987031498745101,7,10,VIS2
151,0.07399562626513191,7,12,VIS2
152,0.3028454869114144,7,14,VIS2
153,0.3136456264453002,7,15,VIS2
154,0.00358857279293127,7,18,VIS2
155,0.12454330739624904,7,20,VIS2
156,0.3197261372349901,7,22,VIS2
157,0.46407248395437645,7,25,VIS2
158,0.7379317042754976,7,27,VIS2
159,0.14233795100581337,7,29,VIS2
160,0.18106457947999258,7,31,VIS2
161,0.17427349581667445,7,17,VIS2
162,0.18294071473295023,7,19,VIS2
163,0.011560155663841554,7,21,VIS2
164,0.5066640411504659,7,24,VIS2
165,0.4329415361610719,7,26,VIS2
166,0.272526266627968,7,28,VIS2
167,0.2753017959274109,7,30,VIS2
168,0.36304885269615816,8,02,SMN
169,0.3691174783684564,8,03,SMN
170,0.14669261360712127,8,04,SMN
171,0.7472091356311255,8,06,SMN
172,0.7757741136296998,8,08,SMN
173,0.07770773176138761,8,09,SMN
174,0.40650800762751454,8,10,SMN
175,0.09458713788622412,8,12,SMN
176,0.4807997279179808,8,14,SMN
177,0.16878651534534592,8,15,SMN
178,0.010927088035359408,8,18,SMN
179,0.5933102209403007,8,20,SMN
180,0.29347540241836956,8,22,SMN
181,0.44008805293723535,8,25,SMN
182,0.3830060612283621,8,27,SMN
183,0.4528742221601288,8,29,SMN
184,0.013662278166455913,8,31,SMN
185,0.18022547363477953,8,17,SMN
186,0.3993948293073537,8,19,SMN
187,0.07458458999745331,8,21,SMN
188,0.16376193130668576,8,24,SMN
189,0.26011872203267933,8,26,SMN
190,0.05969325373591187,8,28,SMN
191,0.24343900135901847,8,30,SMN
192,0.24053079878809577,9,02,SMN
193,0.09546861700848275,9,03,SMN
194,0.08598517846729382,9,04,SMN
195,0.2361394545852135,9,06,SMN
196,0.19109081088368163,9,08,SMN
197,0.008819422723509263,9,09,SMN
198,0.2398664504954451,9,10,SMN
199,0.010221244397963224,9,12,SMN
200,0.3961558277600363,9,14,SMN
201,0.056015361163310025,9,15,SMN
202,0.03195487338138253,9,18,SMN
203,0.35083477640427246,9,20,SMN
204,0.3111637497166731,9,22,SMN
205,0.37266597387597056,9,25,SMN
206,0.1927323984230443,9,27,SMN
207,0.23934356939979823,9,29,SMN
208,0.015962633508726218,9,31,SMN
209,0.19020181930285968,9,17,SMN
210,0.10010433745800495,9,19,SMN
211,0.006654311262431097,9,21,SMN
212,0.25996498975086135,9,24,SMN
213,0.07451636006695617,9,26,SMN
214,0.32187278242927697,9,28,SMN
215,0.3720162398439456,9,30,SMN
216,0.5160802949904896,10,02,CON
217,0.49612274519736743,10,03,CON
218,0.09322516427280132,10,04,CON
219,0.1260254509872631,10,06,CON
220,0.5865150823981058,10,08,CON
221,0.43200483733942624,10,09,CON
222,0.42646067642866314,10,10,CON
223,0.1493618692626293,10,12,CON
224,0.1968526449769393,10,14,CON
225,0.017955372626044155,10,15,CON
226,0.011083899805240067,10,18,CON
227,0.29528479721117484,10,20,CON
228,0.18678996518082558,10,22,CON
229,0.26156575391868175,10,25,CON
230,0.5400210221548134,10,27,CON
231,0.13983413380417808,10,29,CON
232,0.04351846323565988,10,31,CON
233,0.0013762235192863739,10,17,CON
234,0.07454902808277561,10,19,CON
235,0.003785073850379801,10,21,CON
236,0.10040305752264814,10,24,CON
237,0.18800553151482624,10,26,CON
238,0.6072893731667478,10,28,CON
239,0.038362164387162084,10,30,CON
240,0.2314382851563257,11,02,DAN
241,0.32198891528097145,11,03,DAN
242,0.06532500423878121,11,04,DAN
243,0.5356512895322774,11,06,DAN
244,0.0004521938344755134,11,08,DAN
245,0.12015607175488197,11,09,DAN
246,0.046646323238220634,11,10,DAN
247,0.0018317473748936605,11,12,DAN
248,0.31878194361563716,11,14,DAN
249,0.00012537752679224996,11,15,DAN
250,0.03304161304309645,11,18,DAN
251,0.09826931697434908,11,20,DAN
252,0.07671955349513095,11,22,DAN
253,0.0006540026382540122,11,25,DAN
254,0.23909439228018325,11,27,DAN
255,1.2138759352343406e-05,11,29,DAN
256,0.032516595804563314,11,31,DAN
257,0.09434609189182261,11,17,DAN
258,0.6654615401884688,11,19,DAN
259,0.26077983835899066,11,21,DAN
260,0.024428656692807266,11,24,DAN
261,0.053501649778238125,11,26,DAN
262,0.09100086973445354,11,28,DAN
263,0.0024438622174538837,11,30,DAN
264,0.2131239601821484,12,02,LAN
265,0.7604274745570534,12,03,LAN
266,0.16651872216819913,12,04,LAN
267,0.17268545405437488,12,06,LAN
268,0.0004310443788033791,12,08,LAN
269,0.21790961220597682,12,09,LAN
270,0.15957626396719535,12,10,LAN
271,0.27180099036461136,12,12,LAN
272,0.3570143712696228,12,14,LAN
273,0.0019326237722928278,12,15,LAN
274,0.045216328899773284,12,18,LAN
275,0.14443564234710185,12,20,LAN
276,0.1098910528444418,12,22,LAN
277,0.13267654741363322,12,25,LAN
278,0.47812702871045454,12,27,LAN
279,0.22021783886529234,12,29,LAN
280,0.0822581609132452,12,31,LAN
281,0.08550628168275044,12,17,LAN
282,0.09397551784282913,12,19,LAN
283,0.10916304628117247,12,21,LAN
284,0.002727446805743785,12,24,LAN
285,0.013985823690946706,12,26,LAN
286,0.07466343673796579,12,28,LAN
287,0.046620682795632806,12,30,LAN
288,0.9121925542371102,13,02,VIS2
289,0.4922013269776413,13,03,VIS2
290,0.5976052048024045,13,04,VIS2
291,0.42636233194993467,13,06,VIS2
292,0.3868150775516683,13,08,VIS2
293,0.24702513943073098,13,09,VIS2
294,0.3980852251269181,13,10,VIS2
295,0.3627229635728094,13,12,VIS2
296,0.4327133945093796,13,14,VIS2
297,0.6680255125652089,13,15,VIS2
298,0.10283883946581396,13,18,VIS2
299,0.9640022940753654,13,20,VIS2
300,0.38360619572646426,13,22,VIS2
301,0.6449061264890321,13,25,VIS2
302,1.004701674201696,13,27,VIS2
303,0.6459109247360616,13,29,VIS2
304,0.2886796112991327,13,31,VIS2
305,0.21967291802638886,13,17,VIS2
306,0.09234600343269884,13,19,VIS2
307,0.028074687776830108,13,21,VIS2
308,0.520434749988175,13,24,VIS2
309,0.5897110817615037,13,26,VIS2
310,0.13656765550923525,13,28,VIS2
311,0.2810128261512063,13,30,VIS2
312,0.20713492594569743,14,02,FPN
313,0.3769798270721583,14,03,FPN
314,0.12854446859801405,14,04,FPN
315,0.4472737764529106,14,06,FPN
316,0.3369786591606435,14,08,FPN
317,0.07236764541109712,14,09,FPN
318,0.26466479369518564,14,10,FPN
319,0.1171888504724705,14,12,FPN
320,0.3183291047752968,14,14,FPN
321,0.013026776905564976,14,15,FPN
322,0.10959333291508863,14,18,FPN
323,0.3072182943757383,14,20,FPN
324,0.12988482512789903,14,22,FPN
325,0.10526859614834819,14,25,FPN
326,0.6714447871209406,14,27,FPN
327,0.47328750911945794,14,29,FPN
328,0.10893853514896852,14,31,FPN
329,0.1164130683700542,14,17,FPN
330,0.18829116799661547,14,19,FPN
331,0.24620274095184463,14,21,FPN
332,0.33857896689837413,14,24,FPN
333,0.31454657364709526,14,26,FPN
334,0.16324740998973203,14,28,FPN
335,0.14306611883589593,14,30,FPN
336,0.38618043131271645,15,02,FPN
337,0.4904524774620059,15,03,FPN
338,0.2062298065314562,15,04,FPN
339,0.6970149502596876,15,06,FPN
340,0.16986230026973928,15,08,FPN
341,0.22174598255604863,15,09,FPN
342,0.4055554477403933,15,10,FPN
343,0.008230109110419846,15,12,FPN
344,0.181806097266325,15,14,FPN
345,0.02300662961215211,15,15,FPN
346,0.3228100861646204,15,18,FPN
347,0.5410907090059083,15,20,FPN
348,0.11579599754907396,15,22,FPN
349,0.05213906601864714,15,25,FPN
350,0.2564925706675336,15,27,FPN
351,0.8663887614474332,15,29,FPN
352,0.06039603935352483,15,31,FPN
353,0.17550139617192947,15,17,FPN
354,0.30924668938055716,15,19,FPN
355,0.08057096564937843,15,21,FPN
356,0.5539877643499964,15,24,FPN
357,0.036803626161818,15,26,FPN
358,0.39321962261542026,15,28,FPN
359,0.4929833419976342,15,30,FPN
360,0.9002261203097445,16,02,VIS2
361,0.3471732965580249,16,03,VIS2
362,0.33670648003054243,16,04,VIS2
363,0.20868795407198418,16,06,VIS2
364,0.290101276457507,16,08,VIS2
365,0.07745728499202145,16,09,VIS2
366,0.2030022048263023,16,10,VIS2
367,0.28243216017426565,16,12,VIS2
368,0.21164827989149507,16,14,VIS2
369,0.10687086394329534,16,15,VIS2
370,0.12694682802557666,16,18,VIS2
371,0.25943872270482493,16,20,VIS2
372,0.10510127915674275,16,22,VIS2
373,0.0902948037081479,16,25,VIS2
374,0.544963859503509,16,27,VIS2
375,0.15717545012650344,16,29,VIS2
376,0.03428056831087207,16,31,VIS2
377,0.23982868684171676,16,17,VIS2
378,0.09784631857807399,16,19,VIS2
379,0.02899648927258687,16,21,VIS2
380,0.20163225022380096,16,24,VIS2
381,0.5171625687500487,16,26,VIS2
382,0.2568567727509251,16,28,VIS2
383,4.3329459604839746e-05,16,30,VIS2
384,0.6957833857106677,17,02,VIS2
385,1.0114186757557015,17,03,VIS2
386,0.09777484258656115,17,04,VIS2
387,0.20824865218253794,17,06,VIS2
388,0.34234723935150524,17,08,VIS2
389,0.3782382958835776,17,09,VIS2
390,0.07612676741686718,17,10,VIS2
391,0.26863699950923237,17,12,VIS2
392,0.1513112366953756,17,14,VIS2
393,0.20477388185603357,17,15,VIS2
394,0.1850899065376684,17,18,VIS2
395,0.3661776817755781,17,20,VIS2
396,0.31699565528336876,17,22,VIS2
397,0.06490530969084922,17,25,VIS2
398,0.8845009980845353,17,27,VIS2
399,0.5006066005693539,17,29,VIS2
400,0.14198150884578006,17,31,VIS2
401,0.3800510361712136,17,17,VIS2
402,0.4649882868902844,17,19,VIS2
403,0.19318609263933423,17,21,VIS2
404,0.13220488305081482,17,24,VIS2
405,0.2504299145339416,17,26,VIS2
406,0.18909640111222845,17,28,VIS2
407,0.08312158178431608,17,30,VIS2
408,1.706568990075135,18,02,VIS2
409,0.6285468031649597,18,03,VIS2
410,0.22707170586472866,18,04,VIS2
411,0.9833345716398089,18,06,VIS2
412,0.3422836792134703,18,08,VIS2
413,0.44855951511456466,18,09,VIS2
414,0.8562109739059698,18,10,VIS2
415,0.32240386433145946,18,12,VIS2
416,0.084842326689769,18,14,VIS2
417,0.3098520043551474,18,15,VIS2
418,0.5513762563662923,18,18,VIS2
419,0.4372713794110042,18,20,VIS2
420,0.5878775045410538,18,22,VIS2
421,0.8653876855212604,18,25,VIS2
422,1.2373315298978769,18,27,VIS2
423,0.3361993883702493,18,29,VIS2
424,0.09457875414187239,18,31,VIS2
425,0.4870091455752991,18,17,VIS2
426,0.4720790363283039,18,19,VIS2
427,0.3386450471462338,18,21,VIS2
428,0.8559082705124034,18,24,VIS2
429,0.8009015181495358,18,26,VIS2
430,0.05893223815443851,18,28,VIS2
431,0.6119722063667602,18,30,VIS2
432,0.7912991944274609,19,02,VIS2
433,0.27218378273448973,19,03,VIS2
434,0.054380782130713505,19,04,VIS2
435,0.148073089392767,19,06,VIS2
436,0.2422545456763388,19,08,VIS2
437,0.16085848743780903,19,09,VIS2
438,0.05176411354504521,19,10,VIS2
439,0.6517245288008496,19,12,VIS2
440,0.4663281818858217,19,14,VIS2
441,0.14553999289654135,19,15,VIS2
442,0.13401603428629,19,18,VIS2
443,0.02021220966211288,19,20,VIS2
444,0.0050880452232217235,19,22,VIS2
445,0.22284183796251525,19,25,VIS2
446,0.8188183683445809,19,27,VIS2
447,0.17052835590342982,19,29,VIS2
448,0.02038030442783014,19,31,VIS2
449,0.22699679922481922,19,17,VIS2
450,0.0951067652189906,19,19,VIS2
451,0.09978733188490241,19,21,VIS2
452,0.15196007401187114,19,24,VIS2
453,0.31430933604168,19,26,VIS2
454,0.5045853760377339,19,28,VIS2
455,0.6272551692577776,19,30,VIS2
456,0.8064820193377805,20,02,VIS2
457,0.1696288847952833,20,03,VIS2
458,0.469501060514467,20,04,VIS2
459,0.29189577080289875,20,06,VIS2
460,0.19268918070401028,20,08,VIS2
461,0.3136014427089002,20,09,VIS2
462,0.1326463521985043,20,10,VIS2
463,0.10487926657750679,20,12,VIS2
464,0.21447574603408048,20,14,VIS2
465,0.1620914198277335,20,15,VIS2
466,0.3193038703445184,20,18,VIS2
467,0.17742907167851657,20,20,VIS2
468,0.22436137980710366,20,22,VIS2
469,0.21845767156521212,20,25,VIS2
470,0.4924656701085641,20,27,VIS2
471,0.11477668571568693,20,29,VIS2
472,0.03620307017743353,20,31,VIS2
473,0.04404825218488062,20,17,VIS2
474,0.21339480699883126,20,19,VIS2
475,0.12108491435286123,20,21,VIS2
476,0.1373213184323908,20,24,VIS2
477,0.2505960144618039,20,26,VIS2
478,0.1763808848464321,20,28,VIS2
479,0.29277734147966866,20,30,VIS2
480,0.7068796619164277,21,02,VIS2
481,0.326531347379876,21,03,VIS2
482,0.14370362283338617,21,04,VIS2
483,0.02910330745850205,21,06,VIS2
484,0.3602748097438109,21,08,VIS2
485,0.7196623323913064,21,09,VIS2
486,0.17398416698788707,21,10,VIS2
487,0.6058486453195718,21,12,VIS2
488,0.23224945886059928,21,14,VIS2
489,0.07498355832695033,21,15,VIS2
490,0.24587701774816872,21,18,VIS2
491,0.0717126770430955,21,20,VIS2
492,0.17068329214203454,21,22,VIS2
493,0.2253297282400284,21,25,VIS2
494,0.8595240787712889,21,27,VIS2
495,3.065314335973078e-05,21,29,VIS2
496,0.018087578644274443,21,31,VIS2
497,0.1346811176975604,21,17,VIS2
498,0.20287780736795785,21,19,VIS2
499,0.31647041521286357,21,21,VIS2
500,0.10260233722824547,21,24,VIS2
501,0.35533385538383705,21,26,VIS2
502,0.07232172807085671,21,28,VIS2
503,0.13429703981467117,21,30,VIS2
504,1.0040575827974136,22,02,VIS2
505,0.4745918435898917,22,03,VIS2
506,0.4488500353887227,22,04,VIS2
507,0.3940533628979577,22,06,VIS2
508,0.20422841548964238,22,08,VIS2
509,0.5132080373090739,22,09,VIS2
510,0.19172266940749183,22,10,VIS2
511,0.07771623886767058,22,12,VIS2
512,0.4877482242811971,22,14,VIS2
513,0.13812235005900297,22,15,VIS2
514,0.19857607191857257,22,18,VIS2
515,0.3793951031306808,22,20,VIS2
516,0.31557249956900135,22,22,VIS2
517,0.41262285153357625,22,25,VIS2
518,0.453357706311369,22,27,VIS2
519,0.014213900687765868,22,29,VIS2
520,0.0054556075606266114,22,31,VIS2
521,0.22961443078760174,22,17,VIS2
522,0.41485015628350835,22,19,VIS2
523,0.18357451650333942,22,21,VIS2
524,0.6676121300712943,22,24,VIS2
525,0.33659805135572557,22,26,VIS2
526,0.07070352300350437,22,28,VIS2
527,0.29739076073925796,22,30,VIS2
528,0.5338093172593694,23,02,VIS2
529,0.3614521112010129,23,03,VIS2
530,0.22139708786894788,23,04,VIS2
531,0.3091682826533398,23,06,VIS2
532,0.08784098381016418,23,08,VIS2
533,0.0461105175293587,23,09,VIS2
534,0.21552406635469742,23,10,VIS2
535,0.07615753586590165,23,12,VIS2
536,0.5104379736184942,23,14,VIS2
537,0.12277755813645892,23,15,VIS2
538,0.051469891897197695,23,18,VIS2
539,0.03824957355229724,23,20,VIS2
540,0.42725872153730843,23,22,VIS2
541,0.13775740290605265,23,25,VIS2
542,0.5858888298078725,23,27,VIS2
543,0.13294756408113806,23,29,VIS2
544,0.04118937346387134,23,31,VIS2
545,0.01718352654222975,23,17,VIS2
546,0.2334832532177806,23,19,VIS2
547,0.11934909816825848,23,21,VIS2
548,0.150835356613275,23,24,VIS2
549,0.11990851234066864,23,26,VIS2
550,8.47477020574636e-05,23,28,VIS2
551,0.01396746270620514,23,30,VIS2
552,0.19501199017649065,24,02,AUD
553,0.07391812693764381,24,03,AUD
554,0.03627623200264525,24,04,AUD
555,0.1782843442128289,24,06,AUD
556,0.06540258411875947,24,08,AUD
557,0.0023575839301772034,24,09,AUD
558,0.001331085367845159,24,10,AUD
559,0.14324007029851454,24,12,AUD
560,0.15202701429616405,24,14,AUD
561,0.008890296032171726,24,15,AUD
562,3.9979290672443436e-05,24,18,AUD
563,0.011138064992445042,24,20,AUD
564,0.02272572789797239,24,22,AUD
565,0.10659829880924149,24,25,AUD
566,0.07314683489239811,24,27,AUD
567,0.03775589092868194,24,29,AUD
568,0.07143505784988706,24,31,AUD
569,0.13810948186590916,24,17,AUD
570,0.004341775293076718,24,19,AUD
571,0.0008030202870962333,24,21,AUD
572,0.0014981826613273816,24,24,AUD
573,0.25580768129196446,24,26,AUD
574,0.004881869033388794,24,28,AUD
575,0.06780084390753743,24,30,AUD
576,0.23621782269970276,25,02,LAN
577,0.1536101148654236,25,03,LAN
578,0.2920845234343791,25,04,LAN
579,0.5407633213371137,25,06,LAN
580,0.31336171498241105,25,08,LAN
581,0.44940925988584374,25,09,LAN
582,0.11482139193947574,25,10,LAN
583,0.0167575378675566,25,12,LAN
584,0.15783739422712098,25,14,LAN
585,0.36899321351304115,25,15,LAN
586,3.093315743512434e-05,25,18,LAN
587,0.1785675311459777,25,20,LAN
588,0.003965337667200701,25,22,LAN
589,0.4573464531403107,25,25,LAN
590,0.3245964133246316,25,27,LAN
591,0.013025690986132857,25,29,LAN
592,0.013360610555317419,25,31,LAN
593,0.14704699047513894,25,17,LAN
594,0.006241191552693183,25,19,LAN
595,0.10749699551324597,25,21,LAN
596,0.29628878010951676,25,24,LAN
597,0.15930596748800238,25,26,LAN
598,0.21252294219126933,25,28,LAN
599,0.05099084495818038,25,30,LAN
600,0.3348038075160851,26,02,LAN
601,0.2612671796524733,26,03,LAN
602,0.22780822637316564,26,04,LAN
603,0.11014963305722715,26,06,LAN
604,0.24304644769762002,26,08,LAN
605,0.1620306655557295,26,09,LAN
606,0.4669526230018612,26,10,LAN
607,0.0074838605202866195,26,12,LAN
608,0.05576685941631808,26,14,LAN
609,2.216319102172647e-05,26,15,LAN
610,0.026161684496226238,26,18,LAN
611,0.20154595793904798,26,20,LAN
612,0.0015098811226214608,26,22,LAN
613,0.17890067220115582,26,25,LAN
614,0.23643752213406705,26,27,LAN
615,0.07259703763866436,26,29,LAN
616,0.06002400670124387,26,31,LAN
617,0.32499742832971296,26,17,LAN
618,0.47323880411343117,26,19,LAN
619,0.02915070830491123,26,21,LAN
620,0.18614467315439884,26,24,LAN
621,0.2658826888056861,26,26,LAN
622,0.034831436684226176,26,28,LAN
623,0.12709742595175905,26,30,LAN
624,0.43875561270491864,27,02,PMULTI
625,0.5502077804037954,27,03,PMULTI
626,0.07522046805432926,27,04,PMULTI
627,0.40645871282150914,27,06,PMULTI
628,0.013196483121318095,27,08,PMULTI
629,0.000966282305250332,27,09,PMULTI
630,0.25415299842867384,27,10,PMULTI
631,0.006048659155433202,27,12,PMULTI
632,0.32966835371223174,27,14,PMULTI
633,0.053804244354478864,27,15,PMULTI
634,0.21577877370059087,27,18,PMULTI
635,0.20341260477067988,27,20,PMULTI
636,0.0002037403426339511,27,22,PMULTI
637,0.2158824069258985,27,25,PMULTI
638,0.14645261826258146,27,27,PMULTI
639,0.8822825745968266,27,29,PMULTI
640,0.027293905817227654,27,31,PMULTI
641,0.275928117470482,27,17,PMULTI
642,0.18775781918305506,27,19,PMULTI
643,0.1900064744835587,27,21,PMULTI
644,0.23218309449879976,27,24,PMULTI
645,0.19581868486780948,27,26,PMULTI
646,0.010791182605134982,27,28,PMULTI
647,0.060246962317219224,27,30,PMULTI
648,0.15706909588919815,28,02,LAN
649,0.3626124287027952,28,03,LAN
650,0.014818492038545876,28,04,LAN
651,0.657801722297866,28,06,LAN
652,0.14525214010603357,28,08,LAN
653,0.03793961578296149,28,09,LAN
654,0.11098342725982523,28,10,LAN
655,0.02625291671703104,28,12,LAN
656,0.3872205317676373,28,14,LAN
657,0.004992730637006756,28,15,LAN
658,0.01347426813472466,28,18,LAN
659,0.034803006078563285,28,20,LAN
660,0.22133646622483308,28,22,LAN
661,0.6725712420357701,28,25,LAN
662,0.9511343156714617,28,27,LAN
663,0.022229788559457037,28,29,LAN
664,0.00456579726388878,28,31,LAN
665,0.1728903439930396,28,17,LAN
666,0.12068755789229016,28,19,LAN
667,0.014802677255877916,28,21,LAN
668,0.05636951612464236,28,24,LAN
669,0.29388023365906624,28,26,LAN
670,0.27843386585373014,28,28,LAN
671,0.08578717811144562,28,30,LAN
672,0.5485096067528128,29,02,FPN
673,0.37461037639849204,29,03,FPN
674,0.06923996279003519,29,04,FPN
675,0.34786447619099536,29,06,FPN
676,0.143606127379087,29,08,FPN
677,0.26604451612989677,29,09,FPN
678,0.2824519744741039,29,10,FPN
679,0.18082303080806814,29,12,FPN
680,0.11385236931943127,29,14,FPN
681,0.03550110708137577,29,15,FPN
682,0.019932106834137965,29,18,FPN
683,0.01088815542638577,29,20,FPN
684,0.00927958028913578,29,22,FPN
685,0.04675784365932322,29,25,FPN
686,0.6081929446292347,29,27,FPN
687,0.4195116196438152,29,29,FPN
688,0.07252953588517452,29,31,FPN
