,Dimensionality,Parcels,Subject,Network
0,1.0051754899689538,1,02,VIS1
1,0.9909571089998118,1,03,VIS1
2,0.6660814811343531,1,04,VIS1
3,0.8758909995999631,1,06,VIS1
4,0.7285573662494264,1,08,VIS1
5,0.8535140528337177,1,09,VIS1
6,0.6525795397979459,1,10,VIS1
7,0.5156456422321967,1,12,VIS1
8,0.9557291103684762,1,14,VIS1
9,0.7198171878474383,1,15,VIS1
10,0.3894985153446007,1,18,VIS1
11,1.1163343027076646,1,20,VIS1
12,0.5356753444976701,1,22,VIS1
13,0.6247020025686941,1,25,VIS1
14,1.3010191485123,1,27,VIS1
15,0.8303310675866764,1,29,VIS1
16,0.7126044562045892,1,31,VIS1
17,0.7837442437766492,1,17,VIS1
18,0.659420291392366,1,19,VIS1
19,0.5639787998063274,1,21,VIS1
20,1.4173324708624717,1,24,VIS1
21,0.7568038592743115,1,26,VIS1
22,0.2813913794821275,1,28,VIS1
23,0.8759655221708729,1,30,VIS1
24,0.3325929241138727,2,02,VIS2
25,0.3377859466852179,2,03,VIS2
26,0.14920269366959302,2,04,VIS2
27,0.3003454585332079,2,06,VIS2
28,0.24390984658664466,2,08,VIS2
29,0.16394802071104955,2,09,VIS2
30,0.4409399124571153,2,10,VIS2
31,0.1032757103219253,2,12,VIS2
32,0.09597110451343109,2,14,VIS2
33,0.4075038109156069,2,15,VIS2
34,0.07720511244004469,2,18,VIS2
35,0.137907405881022,2,20,VIS2
36,0.250214124699414,2,22,VIS2
37,0.2930501431464177,2,25,VIS2
38,0.9848055567763276,2,27,VIS2
39,0.47413899321692066,2,29,VIS2
40,0.02883604671021621,2,31,VIS2
41,0.31813300046858567,2,17,VIS2
42,0.27202583419294607,2,19,VIS2
43,0.11944719809088816,2,21,VIS2
44,0.22329973289510952,2,24,VIS2
45,0.17759957373224977,2,26,VIS2
46,0.022509789043812754,2,28,VIS2
47,0.13680355260690175,2,30,VIS2
48,0.45911941403394263,3,02,VIS2
49,0.6226153395394004,3,03,VIS2
50,0.0842362101005307,3,04,VIS2
51,0.6970633164954428,3,06,VIS2
52,0.21267922758142263,3,08,VIS2
53,0.18937679303907273,3,09,VIS2
54,0.26458265627551025,3,10,VIS2
55,0.2621353303768406,3,12,VIS2
56,0.24920917798708,3,14,VIS2
57,0.08190657312783282,3,15,VIS2
58,0.13899805722890696,3,18,VIS2
59,0.13999324838133798,3,20,VIS2
60,0.33334296519467044,3,22,VIS2
61,0.07744297201790368,3,25,VIS2
62,0.5808379849797294,3,27,VIS2
63,0.23135051242238552,3,29,VIS2
64,0.18747382576604935,3,31,VIS2
65,0.27686420589290217,3,17,VIS2
66,0.16701763335239805,3,19,VIS2
67,0.05080772634115797,3,21,VIS2
68,0.3443480227406338,3,24,VIS2
69,0.023306056188790895,3,26,VIS2
70,0.042213349963659906,3,28,VIS2
71,0.11988667556005991,3,30,VIS2
72,1.3972589457649665,4,02,VIS2
73,1.1908021662184967,4,03,VIS2
74,0.7619287699168765,4,04,VIS2
75,1.0864471920757115,4,06,VIS2
76,0.7401314294212781,4,08,VIS2
77,1.0181594362265585,4,09,VIS2
78,0.6270717311923215,4,10,VIS2
79,0.6699212198631744,4,12,VIS2
80,1.0544620831334046,4,14,VIS2
81,0.7229935193733477,4,15,VIS2
82,0.4597140565819305,4,18,VIS2
83,1.1028604036591168,4,20,VIS2
84,0.7491743553367893,4,22,VIS2
85,0.7641950929028065,4,25,VIS2
86,1.7206449022158914,4,27,VIS2
87,0.8952877559416188,4,29,VIS2
88,0.7924140616585377,4,31,VIS2
89,0.7981405138887878,4,17,VIS2
90,0.7335137614092267,4,19,VIS2
91,0.42251846299728363,4,21,VIS2
92,1.4701153423497098,4,24,VIS2
93,0.9579037742399668,4,26,VIS2
94,0.20479733116526377,4,28,VIS2
95,1.2323930684822,4,30,VIS2
96,1.4509222701703945,5,02,VIS2
97,1.1231321523425806,5,03,VIS2
98,0.863069315965926,5,04,VIS2
99,0.7035420795488964,5,06,VIS2
100,0.5213006026970766,5,08,VIS2
101,0.982452484194765,5,09,VIS2
102,0.6973061736852976,5,10,VIS2
103,0.5578398381124611,5,12,VIS2
104,1.0428115451096804,5,14,VIS2
105,0.8955271620745493,5,15,VIS2
106,0.4398131627241391,5,18,VIS2
107,0.8170106346123205,5,20,VIS2
108,0.8076766013420504,5,22,VIS2
109,0.7985325800941799,5,25,VIS2
110,1.5915682039932582,5,27,VIS2
111,0.9359919540525868,5,29,VIS2
112,0.6579281090681137,5,31,VIS2
113,0.7675760931290068,5,17,VIS2
114,0.5665751649225975,5,19,VIS2
115,0.5581818828113908,5,21,VIS2
116,1.1813042408601808,5,24,VIS2
117,0.8550924077222378,5,26,VIS2
118,0.10822409956856925,5,28,VIS2
119,0.8525045701937403,5,30,VIS2
120,1.1390885837594271,6,02,VIS2
121,0.8569013171234162,6,03,VIS2
122,0.6835004058124924,6,04,VIS2
123,0.44147405331404643,6,06,VIS2
124,0.6002284064967793,6,08,VIS2
125,0.8228423286012094,6,09,VIS2
126,0.7258705388184178,6,10,VIS2
127,0.5641704032468031,6,12,VIS2
128,0.5898847574653124,6,14,VIS2
129,0.721972763588655,6,15,VIS2
130,0.23852891783698327,6,18,VIS2
131,0.5254304415007627,6,20,VIS2
132,0.5663476478529081,6,22,VIS2
133,0.7067050346035099,6,25,VIS2
134,1.446922689520127,6,27,VIS2
135,0.6421066305378019,6,29,VIS2
136,0.33237562703131673,6,31,VIS2
137,0.5488050613208737,6,17,VIS2
138,0.3006419323713029,6,19,VIS2
139,0.41207009095972236,6,21,VIS2
140,0.8336923957869639,6,24,VIS2
141,0.7903257480256506,6,26,VIS2
142,0.17835168666316062,6,28,VIS2
143,0.5603727673166672,6,30,VIS2
144,0.9477962829541481,7,02,VIS2
145,0.49349542038574834,7,03,VIS2
146,0.24565199693876655,7,04,VIS2
147,0.17444438170069204,7,06,VIS2
148,0.30018488286958317,7,08,VIS2
149,0.6279926092643456,7,09,VIS2
150,0.6213604429325261,7,10,VIS2
151,0.3259732484358256,7,12,VIS2
152,0.3850791608536371,7,14,VIS2
153,0.5026398839721913,7,15,VIS2
154,0.014088464217084493,7,18,VIS2
155,0.47947034065465216,7,20,VIS2
156,0.3506328169726095,7,22,VIS2
157,0.379720844033385,7,25,VIS2
158,0.8414843013462155,7,27,VIS2
159,0.27246330888936743,7,29,VIS2
160,0.2585126551731943,7,31,VIS2
161,0.3216208806788194,7,17,VIS2
162,0.1349310714054587,7,19,VIS2
