,Dimensionality,Parcels,Subject,Network
0,1.2024653502834892,1,02,VIS1
1,1.2732029353560814,1,03,VIS1
2,0.4621521846101513,1,04,VIS1
3,1.2092811304847317,1,06,VIS1
4,0.1320370792448383,1,08,VIS1
5,1.1505482336795911,1,09,VIS1
6,1.046134747358501,1,10,VIS1
7,0.433689752085724,1,12,VIS1
8,1.1889815045763767,1,14,VIS1
9,0.7074749462403397,1,15,VIS1
10,0.7870614880251747,1,18,VIS1
11,0.9163077280155095,1,20,VIS1
12,0.7420315103136792,1,22,VIS1
13,1.1477969944737108,1,25,VIS1
14,1.2223106161251291,1,27,VIS1
15,1.437720929233663,1,29,VIS1
16,1.6655334476769388,1,31,VIS1
17,1.1642668528649012,1,17,VIS1
18,0.9070578660279695,1,19,VIS1
19,0.01912323019602245,1,21,VIS1
20,1.4379406584669474,1,24,VIS1
21,0.8281181222688229,1,26,VIS1
22,0.011858167430994524,1,28,VIS1
23,1.0653068224732622,1,30,VIS1
24,1.1664693364045058,2,02,VIS2
25,0.00034743095827422215,2,03,VIS2
26,0.9614810458030029,2,04,VIS2
27,1.141322607912304,2,06,VIS2
28,0.7041146266375966,2,08,VIS2
29,1.084841261246592,2,09,VIS2
30,0.35771215920179467,2,10,VIS2
31,1.3687373204347648,2,12,VIS2
32,1.4208347272136057,2,14,VIS2
33,1.973642672773715,2,15,VIS2
34,0.765214195741796,2,18,VIS2
35,0.07029497674964097,2,20,VIS2
36,0.6288307676586374,2,22,VIS2
37,0.586169276048107,2,25,VIS2
38,0.9461912839771005,2,27,VIS2
39,0.10018231310633843,2,29,VIS2
40,0.42362011406672506,2,31,VIS2
41,0.7506978939573591,2,17,VIS2
42,0.9031932148924046,2,19,VIS2
43,0.19270949246964597,2,21,VIS2
44,0.23635140525441348,2,24,VIS2
45,1.9211836071015251,2,26,VIS2
46,1.0504195373614753,2,28,VIS2
47,0.19051658005713917,2,30,VIS2
48,1.3484202747959364,3,02,VIS2
49,1.3682621890616102,3,03,VIS2
50,0.2823803134046404,3,04,VIS2
51,0.19777513379345313,3,06,VIS2
52,1.7630545688112382,3,08,VIS2
53,1.6556450259468374,3,09,VIS2
54,0.4819832543588397,3,10,VIS2
55,1.1084741103731999,3,12,VIS2
56,0.04796940176290033,3,14,VIS2
57,1.0762858700608005,3,15,VIS2
58,0.954968505749242,3,18,VIS2
59,0.5479838661966894,3,20,VIS2
60,0.8981981164674449,3,22,VIS2
61,1.3076416787496323,3,25,VIS2
62,1.143065482816491,3,27,VIS2
63,0.07593809340269994,3,29,VIS2
64,0.887965373206182,3,31,VIS2
65,0.3911077312129832,3,17,VIS2
66,0.39236279162587523,3,19,VIS2
67,0.8217780874270547,3,21,VIS2
68,0.8590874960063843,3,24,VIS2
69,0.771984194125,3,26,VIS2
70,0.7124969491036656,3,28,VIS2
71,0.19424804580348473,3,30,VIS2
72,1.5945978595947583,4,02,VIS2
73,0.8014884757607098,4,03,VIS2
74,0.5666440863149359,4,04,VIS2
75,1.2735982146234397,4,06,VIS2
76,0.32851281757363643,4,08,VIS2
77,1.1395545076803564,4,09,VIS2
78,0.5908452812765171,4,10,VIS2
79,1.5516510692333112,4,12,VIS2
80,1.1475219157823406,4,14,VIS2
81,0.7268525671210126,4,15,VIS2
82,0.29123004956273296,4,18,VIS2
83,0.9641694896981554,4,20,VIS2
84,0.7153297698712227,4,22,VIS2
85,0.822726093460481,4,25,VIS2
86,1.3792527798458538,4,27,VIS2
87,1.026430005049204,4,29,VIS2
88,0.13786577167574582,4,31,VIS2
89,1.083455527580443,4,17,VIS2
