,Dimensionality,Parcels,Subject,Network
0,0.9053102090775345,1,02,VIS1
1,1.0452208913013836,1,03,VIS1
2,0.6724478595481542,1,04,VIS1
3,0.8677227240747887,1,06,VIS1
4,0.703913864614727,1,08,VIS1
5,0.8702719199732646,1,09,VIS1
6,0.6636406700449344,1,10,VIS1
7,0.5377429077717407,1,12,VIS1
8,0.9726146697957524,1,14,VIS1
9,0.614459257666637,1,15,VIS1
10,0.4511844689584439,1,18,VIS1
11,1.0268494230100664,1,20,VIS1
12,0.5181445146250389,1,22,VIS1
13,0.6427263647952185,1,25,VIS1
14,1.3409254813098466,1,27,VIS1
15,0.8859946089517291,1,29,VIS1
16,0.7153378126825656,1,31,VIS1
17,0.8652776201540197,1,17,VIS1
18,0.6782927593497738,1,19,VIS1
19,0.5609575408418271,1,21,VIS1
20,1.4371480700482402,1,24,VIS1
21,0.8163411010194175,1,26,VIS1
22,0.2779303982710417,1,28,VIS1
23,0.8592612834569098,1,30,VIS1
24,0.4131551764820458,2,02,VIS2
25,0.3999758248619955,2,03,VIS2
26,0.14397576021772102,2,04,VIS2
27,0.31512225951600326,2,06,VIS2
28,0.24721040373992392,2,08,VIS2
29,0.19373168217358472,2,09,VIS2
30,0.4539680759520323,2,10,VIS2
31,0.08986777248031,2,12,VIS2
32,0.07603925496396897,2,14,VIS2
33,0.36129507958671003,2,15,VIS2
34,0.07180455061176318,2,18,VIS2
35,0.17894859502995805,2,20,VIS2
36,0.32465850762515003,2,22,VIS2
37,0.21980754762255478,2,25,VIS2
38,0.9146595542320289,2,27,VIS2
39,0.5064070611414514,2,29,VIS2
40,0.07015675750155145,2,31,VIS2
41,0.35427039551910744,2,17,VIS2
42,0.2613392711916909,2,19,VIS2
43,0.12597246356953035,2,21,VIS2
44,0.31366631878799145,2,24,VIS2
45,0.1800304599157179,2,26,VIS2
46,0.00594836563088987,2,28,VIS2
47,0.1305778197969935,2,30,VIS2
48,0.40825337155868274,3,02,VIS2
49,0.6167641273093492,3,03,VIS2
50,0.06773090772558514,3,04,VIS2
51,0.6142730060240829,3,06,VIS2
52,0.16248220509740505,3,08,VIS2
53,0.23514141957128612,3,09,VIS2
54,0.3193150255620075,3,10,VIS2
55,0.27704918172908793,3,12,VIS2
56,0.24198287394719786,3,14,VIS2
57,0.06570027892511522,3,15,VIS2
58,0.12521184281528366,3,18,VIS2
59,0.15395926353722011,3,20,VIS2
60,0.24870852715742847,3,22,VIS2
61,0.044462188059337805,3,25,VIS2
62,0.5894422766869469,3,27,VIS2
63,0.25812023045024945,3,29,VIS2
64,0.23379760709844108,3,31,VIS2
65,0.292299421207391,3,17,VIS2
66,0.17682308149740356,3,19,VIS2
67,0.05753752834470547,3,21,VIS2
68,0.38836406484465225,3,24,VIS2
69,0.04696222061301746,3,26,VIS2
70,0.03833069711810078,3,28,VIS2
71,0.11936370982058603,3,30,VIS2
72,1.2703408288267846,4,02,VIS2
73,1.2303648212644689,4,03,VIS2
74,0.836420071547886,4,04,VIS2
75,1.053258499737002,4,06,VIS2
76,0.7019239812536268,4,08,VIS2
77,1.085461156072694,4,09,VIS2
78,0.650957288843115,4,10,VIS2
79,0.6215254587100666,4,12,VIS2
80,1.0522811641617291,4,14,VIS2
81,0.6847758832581553,4,15,VIS2
82,0.4598838474405615,4,18,VIS2
83,1.04239872134227,4,20,VIS2
84,0.7091237665829736,4,22,VIS2
85,0.7425108651216684,4,25,VIS2
86,1.681244749067567,4,27,VIS2
87,0.9671726761000659,4,29,VIS2
88,0.7893638982729525,4,31,VIS2
89,0.8604131940891319,4,17,VIS2
90,0.7074606943478547,4,19,VIS2
91,0.4549048560261798,4,21,VIS2
92,1.4985638718984877,4,24,VIS2
93,0.9880548156062311,4,26,VIS2
94,0.23354171867578905,4,28,VIS2
95,1.1604210229281922,4,30,VIS2
96,1.405542615674692,5,02,VIS2
97,1.210296376887391,5,03,VIS2
98,0.8822883131315163,5,04,VIS2
99,0.7652387633044337,5,06,VIS2
100,0.4624849529187091,5,08,VIS2
101,1.0220501735046472,5,09,VIS2
102,0.6466976955464067,5,10,VIS2
103,0.5765493087061788,5,12,VIS2
104,1.066929903741172,5,14,VIS2
105,0.9403221546860165,5,15,VIS2
106,0.4464385774284719,5,18,VIS2
107,0.843460008535481,5,20,VIS2
108,0.7376445030453483,5,22,VIS2
109,0.7581110863425714,5,25,VIS2
110,1.5764588735669802,5,27,VIS2
111,1.0061968373199224,5,29,VIS2
112,0.6707731478319126,5,31,VIS2
113,0.8343962937960796,5,17,VIS2
114,0.5651835086822248,5,19,VIS2
115,0.561211412742639,5,21,VIS2
116,1.2112351290293357,5,24,VIS2
117,0.8838391240637731,5,26,VIS2
118,0.12415900103820583,5,28,VIS2
119,0.7998935167660154,5,30,VIS2
120,1.1393560639000875,6,02,VIS2
121,0.8657887989290054,6,03,VIS2
122,0.7571764693636509,6,04,VIS2
123,0.5266229356027505,6,06,VIS2
124,0.581619321116868,6,08,VIS2
125,0.8649191753113161,6,09,VIS2
126,0.6878293413138263,6,10,VIS2
127,0.5147939250245855,6,12,VIS2
128,0.6450203807930309,6,14,VIS2
129,0.7416950713357711,6,15,VIS2
130,0.2776318031081085,6,18,VIS2
131,0.5285153087978748,6,20,VIS2
132,0.5319549374628146,6,22,VIS2
133,0.6789577828909008,6,25,VIS2
134,1.4291459692025235,6,27,VIS2
135,0.6783904653550589,6,29,VIS2
136,0.3740189004910422,6,31,VIS2
137,0.6125976385436609,6,17,VIS2
138,0.33353101810941205,6,19,VIS2
139,0.3912083861384777,6,21,VIS2
140,0.9165938698693307,6,24,VIS2
141,0.8197775765972765,6,26,VIS2
142,0.1628756169078563,6,28,VIS2
143,0.4788399878757537,6,30,VIS2
144,0.940435310275059,7,02,VIS2
145,0.4509391516231535,7,03,VIS2
146,0.28575939595868566,7,04,VIS2
