,Dimensionality,Layer,Subject
0,0.7507184736835143,1,02
1,1.488509909055365,2,02
2,1.325750997363556,3,02
3,1.2420854392826004,4,02
4,1.1571832148033974,5,02
5,1.0826183622533774,6,02
6,1.0408189970697719,7,02
7,1.0200961819580125,8,02
8,1.0126806939038515,9,02
9,1.0195999220523502,10,02
10,1.041766879147149,11,02
11,0.5731947836933416,12,02
12,1.148538837283353,1,03
13,1.580162771717572,2,03
14,1.3382486779648797,3,03
15,1.2743458211118222,4,03
16,1.2685514147237535,5,03
17,1.257756967446012,6,03
18,1.2319067800046264,7,03
19,1.2004347818010732,8,03
20,1.1725510918337103,9,03
21,1.1542975591760796,10,03
22,1.1578243429563282,11,03
23,0.9115909488622476,12,03
24,0.24600047125471383,1,04
25,1.17325578346307,2,04
26,1.1495211614813856,3,04
27,1.0803832341694126,4,04
28,0.994541072571732,5,04
29,0.9276884154191586,6,04
30,0.8838637692981142,7,04
31,0.8494881228627122,8,04
32,0.8166584990676444,9,04
33,0.7807705510822434,10,04
34,0.7571564135338286,11,04
35,0.10681270105135275,12,04
36,0.391032753490771,1,06
37,1.4452283812138909,2,06
38,1.307365922690262,3,06
39,1.274787157109227,4,06
40,1.288834419204678,5,06
41,1.314887481186245,6,06
42,1.3381403539153176,7,06
43,1.3584144394456223,8,06
44,1.3778684348094319,9,06
45,1.387520439624512,10,06
46,1.3897890375635362,11,06
47,1.134164642709295,12,06
48,0.47945778485512036,1,08
49,1.4592405999845999,2,08
50,1.2413953135449425,3,08
51,1.1616440746356305,4,08
52,1.1164401852701749,5,08
53,1.098690844598313,6,08
54,1.075539016916334,7,08
55,1.056447510749554,8,08
56,1.0426078813367923,9,08
57,1.0251696189911719,10,08
58,1.001039228646171,11,08
59,0.24766686690358145,12,08
60,0.5030915959228064,1,09
61,1.4371623926167396,2,09
62,1.1922673469270513,3,09
63,1.097725171852542,4,09
64,1.1097405168360104,5,09
65,1.158269908847592,6,09
66,1.1690542521741696,7,09
67,1.165404469152132,8,09
