,Dimensionality,Layer,Subject
0,0.7507184736835143,1,02
1,0.7821768577695746,2,02
2,0.7590791119376715,3,02
3,0.6894124734880646,4,02
4,0.5810729154641395,5,02
5,0.4728876965349561,6,02
6,0.41119750665269894,7,02
7,0.4150921132738404,8,02
8,0.5523150337173481,9,02
9,0.63172733161105,10,02
10,0.6631932502724948,11,02
11,0.6322587257540949,12,02
12,1.148538837283353,1,03
13,1.157462098788167,2,03
14,1.2318410858666617,3,03
15,1.1828300865822232,4,03
16,1.021302601811188,5,03
17,0.7466727898693546,6,03
18,0.5443376501795675,7,03
19,0.4953300133121646,8,03
20,0.4635503942832396,9,03
21,0.4858812033470773,10,03
22,0.5485831526960795,11,03
23,0.744237525861613,12,03
24,0.24600047125471383,1,04
25,0.2629195694639568,2,04
26,0.20483433520306957,3,04
27,0.1379366877000458,4,04
28,0.1341012467699922,5,04
29,0.14217548107529532,6,04
30,0.14629926879466623,7,04
31,0.1857730983346688,8,04
32,0.19384210331127605,9,04
33,0.17605444841379675,10,04
34,0.1351328338490851,11,04
35,0.17364243017026906,12,04
36,0.391032753490771,1,06
37,0.36746439888895543,2,06
38,0.4033260812879536,3,06
39,0.38619087700156496,4,06
40,0.3913913617066844,5,06
41,0.4387909899997455,6,06
42,0.46036909983221763,7,06
43,0.4715212325504379,8,06
44,0.4642760304518357,9,06
45,0.4749467903174989,10,06
46,0.3976343537957664,11,06
47,0.5977180737637228,12,06
48,0.47945778485512036,1,08
49,0.4656775839930347,2,08
50,0.48656743866347296,3,08
51,0.37396381658434774,4,08
52,0.2412360171838628,5,08
53,0.14523221819415352,6,08
54,0.09198217151650656,7,08
55,0.07126246911627995,8,08
56,0.07762392234223142,9,08
57,0.08508454044679531,10,08
58,0.0980178016332294,11,08
59,0.349825734109452,12,08
60,0.5030915959228064,1,09
61,0.5115438401364816,2,09
62,0.5379064969262276,3,09
63,0.47160375011610717,4,09
64,0.40534338248028334,5,09
65,0.34483220059984315,6,09
66,0.2583507249204956,7,09
67,0.21231252706607717,8,09
68,0.15163066333244407,9,09
69,0.10293935708206353,10,09
70,0.14867253878919426,11,09
71,0.43900790995992267,12,09
72,0.7210418793199637,1,10
73,0.6865876051564486,2,10
74,0.7106841488344191,3,10
75,0.6953023887006764,4,10
76,0.5774534460664122,5,10
77,0.4718633601362008,6,10
78,0.49105296940979176,7,10
