,Dimensionality,Layer,Subject
0,0.7507184736835143,1,02
1,0.6789311233363107,2,02
2,0.7127724996395673,3,02
3,0.7616773972135295,4,02
4,0.7566292817820428,5,02
5,0.7601280313893269,6,02
6,0.8013075669747071,7,02
7,0.8385324569830512,8,02
8,0.8486526274351988,9,02
9,0.79234787012418,10,02
10,0.8131433589738774,11,02
11,0.6280574170140739,12,02
12,1.148538837283353,1,03
13,1.2262570104362818,2,03
14,1.2065753996169108,3,03
15,1.2072959075952092,4,03
16,1.2498220307739145,5,03
17,1.2207542616370943,6,03
18,1.2277329383620321,7,03
19,1.1870921175330291,8,03
20,1.1610488098388438,9,03
21,1.1860247733759857,10,03
22,1.2384483966015298,11,03
23,0.7189319117435918,12,03
24,0.24600047125471383,1,04
25,0.24069371307018628,2,04
26,0.1714313011691302,3,04
27,0.15112074499713257,4,04
28,0.12995491446276156,5,04
29,0.15746138166110857,6,04
30,0.20196330480292796,7,04
31,0.15107028625476726,8,04
32,0.18615131938953589,9,04
33,0.15563862341228385,10,04
34,0.1270337996691966,11,04
35,0.13732610037722345,12,04
36,0.391032753490771,1,06
37,0.38603787583768073,2,06
38,0.36984308466926136,3,06
39,0.3225956313721035,4,06
40,0.29773796368505256,5,06
41,0.33677334553390187,6,06
42,0.3468766024095299,7,06
43,0.33686434347865674,8,06
44,0.27669054092275913,9,06
45,0.2969347373710284,10,06
46,0.2849299137147869,11,06
47,0.5494455101505085,12,06
48,0.47945778485512036,1,08
49,0.46388629359820815,2,08
50,0.45724245022276694,3,08
51,0.5280601086622041,4,08
52,0.440899084544664,5,08
53,0.4304733046243899,6,08
54,0.4194858538551283,7,08
55,0.4047432612924741,8,08
56,0.39508071878258727,9,08
57,0.3871911923111684,10,08
58,0.30212850931638846,11,08
59,0.4543923547997023,12,08
60,0.5030915959228064,1,09
61,0.5073737509366346,2,09
62,0.541931474626891,3,09
63,0.5638006946546777,4,09
64,0.5199373142199709,5,09
65,0.5076241403655093,6,09
66,0.5393910924137878,7,09
67,0.5757543958847632,8,09
68,0.6610110171740363,9,09
69,0.6698377992901745,10,09
70,0.643691765034756,11,09
71,0.3936679383309921,12,09
72,0.7210418793199637,1,10
73,0.6905900479359395,2,10
74,0.7023131023644122,3,10
75,0.700924684409193,4,10
76,0.7466918820385267,5,10
77,0.8002588835925082,6,10
78,0.799409507764085,7,10
79,0.8539363476412094,8,10
80,0.8417829515660613,9,10
81,0.8344389154766685,10,10
82,0.8818627977981972,11,10
83,0.7839122965285099,12,10
84,0.21260466052272367,1,12
85,0.20779588384041814,2,12
86,0.23520381847142077,3,12
87,0.18905566766307588,4,12
88,0.1888454807987662,5,12
89,0.17321057387519706,6,12
90,0.1870532995907834,7,12
91,0.2359797196547445,8,12
92,0.2846672938459759,9,12
93,0.2925770225708636,10,12
94,0.33588855279436747,11,12
95,0.6809748742420403,12,12
96,0.27206187880774424,1,14
97,0.24034321444124346,2,14
98,0.2894693857420649,3,14
99,0.28040560546232257,4,14
100,0.25597199036472296,5,14
101,0.2592628208975581,6,14
102,0.3036210617039762,7,14
103,0.298394329383851,8,14
104,0.3440382054113634,9,14
105,0.43519551489272174,10,14
106,0.5390750838446067,11,14
107,0.5363717695813413,12,14
108,0.3975441340542015,1,15
109,0.3876647518281676,2,15
110,0.3426085274030139,3,15
111,0.31862628469216137,4,15
112,0.34968898645881397,5,15
113,0.3434253772560523,6,15
114,0.3770862547951078,7,15
115,0.4260588260350671,8,15
116,0.3991906993171524,9,15
117,0.3953386407863608,10,15
118,0.43158006301339247,11,15
119,0.4678763164209419,12,15
120,0.2763032100491094,1,18
121,0.2699795831839155,2,18
122,0.283589408950339,3,18
123,0.2351594891783709,4,18
124,0.2260881532023241,5,18
125,0.2277200943653397,6,18
126,0.22206393297965374,7,18
127,0.248543636675413,8,18
128,0.2707831591977992,9,18
129,0.33036858864765545,10,18
130,0.34116102409892163,11,18
131,0.0993527869297798,12,18
132,0.06630429830584532,1,20
133,0.08600115220849844,2,20
134,0.07664331799210626,3,20
135,0.1132586023292963,4,20
136,0.09764109424789666,5,20
137,0.1294462013555481,6,20
138,0.09890244561441791,7,20
139,0.06689640000977387,8,20
140,0.07583540861799634,9,20
141,0.14159425565195707,10,20
142,0.15666857867533496,11,20
143,0.8739842652092833,12,20
144,0.6678871480310565,1,22
145,0.693169866741035,2,22
146,0.6775316643419164,3,22
147,0.7057714690432482,4,22
148,0.7079163409332951,5,22
149,0.695730663630571,6,22
150,0.6929874991406112,7,22
151,0.6805082510289568,8,22
152,0.6077172184686862,9,22
153,0.6223616418512549,10,22
154,0.680671595898212,11,22
155,0.5996446352376972,12,22
156,0.39244633522010486,1,25
157,0.4684519506589396,2,25
158,0.45661757160026606,3,25
159,0.44830216008604523,4,25
160,0.46441589183208304,5,25
161,0.42630655645647164,6,25
162,0.4243727603698284,7,25
163,0.3961247996419987,8,25
164,0.4030252543907172,9,25
165,0.4460602828871746,10,25
166,0.41881669571738234,11,25
167,0.41009949533033047,12,25
168,1.1537283483895684,1,27
169,1.1053436513901485,2,27
170,1.1449798442133654,3,27
171,1.1777444228799645,4,27
172,1.2171791180019798,5,27
173,1.3334445918102589,6,27
174,1.39508463168432,7,27
175,1.4547908465036457,8,27
176,1.5352967217716662,9,27
177,1.5365717035794897,10,27
178,1.4471525711446038,11,27
179,0.9786607412554017,12,27
180,0.5890261817529386,1,29
181,0.6548715039991363,2,29
182,0.5866801002097235,3,29
183,0.5657255817361889,4,29
184,0.4976839877334832,5,29
185,0.4266778575527503,6,29
186,0.4304119851524077,7,29
187,0.40722062622430244,8,29
188,0.43032232245477986,9,29
189,0.460688466253178,10,29
190,0.46371916574815086,11,29
191,0.7560658478323203,12,29
192,0.1450645537717797,1,31
193,0.13376811034741068,2,31
194,0.15681385147876695,3,31
195,0.14545119337045403,4,31
196,0.1650778596752499,5,31
197,0.1554680379224679,6,31
198,0.20622563216313392,7,31
199,0.25041106696346205,8,31
200,0.2678502246705564,9,31
201,0.2797702044954688,10,31
202,0.32349433790288784,11,31
203,0.49439279289948096,12,31
204,0.4352343178386893,1,17
205,0.4049588639267804,2,17
206,0.3656122092780678,3,17
207,0.4176835468633529,4,17
208,0.46419743083446746,5,17
209,0.531711987495233,6,17
210,0.493272506498236,7,17
211,0.5165598933245488,8,17
212,0.5569691061908896,9,17
213,0.5465018795270162,10,17
214,0.612268616055135,11,17
215,0.7467682881906086,12,17
216,0.32593965930105623,1,19
217,0.30349339672248615,2,19
218,0.31067685736341355,3,19
219,0.3021039247057142,4,19
220,0.32384749825504977,5,19
221,0.346872323423864,6,19
222,0.35036944160256445,7,19
223,0.3438007443121452,8,19
224,0.3756992342027482,9,19
225,0.3581610554019668,10,19
226,0.39425465490643485,11,19
227,0.43131215656400934,12,19
228,0.10515111924474453,1,21
229,0.09150611458961017,2,21
230,0.1282587026758313,3,21
231,0.13335480293847135,4,21
232,0.1494612601408223,5,21
233,0.1524814359214895,6,21
234,0.17754714754957224,7,21
235,0.2123433784939639,8,21
236,0.18124506019655562,9,21
237,0.16643582104118337,10,21
238,0.19690145704083875,11,21
239,0.08516585019349383,12,21
240,0.5686411593773493,1,24
241,0.5694261532651284,2,24
242,0.5854653341375262,3,24
243,0.6062097128450232,4,24
244,0.5996766210443419,5,24
245,0.6137032513625672,6,24
246,0.6294497799252575,7,24
247,0.6519022385464359,8,24
248,0.714776082285192,9,24
249,0.8211670910620016,10,24
250,0.8662044960385565,11,24
251,1.1302680405431176,12,24
252,0.745993408796251,1,26
253,0.7039610631359632,2,26
254,0.7171645535643425,3,26
255,0.770379065122868,4,26
256,0.7631538952620154,5,26
257,0.7371856460440207,6,26
258,0.7434675926216872,7,26
259,0.7997908923724634,8,26
260,0.7973565936391688,9,26
261,0.8478210525840952,10,26
262,0.8574939209142785,11,26
263,0.5748110622184919,12,26
264,0.14195463436922956,1,28
265,0.14676872174443792,2,28
266,0.12075365722053312,3,28
267,0.11992227671544751,4,28
268,0.15157143300883236,5,28
269,0.14797892414669236,6,28
270,0.09373946163274963,7,28
271,0.14028458198866078,8,28
272,0.09663427969817284,9,28
273,0.08935250720154593,10,28
274,0.0864451217853391,11,28
275,0.0036793371617458966,12,28
276,0.15489195231330397,1,30
277,0.16861297868693165,2,30
278,0.17771326908155705,3,30
279,0.225137885614192,4,30
280,0.2185215645709281,5,30
281,0.19322845188718316,6,30
282,0.19685899078109087,7,30
283,0.18998642459209486,8,30
284,0.1518790152026508,9,30
285,0.17291325503226265,10,30
286,0.19493306486638998,11,30
287,0.05015580420240991,12,30
