,Dimensionality,Layer,Subject
0,0.7507184736835119,1,02
1,1.5413450790324636,2,02
2,1.392936839056946,3,02
3,1.296479120655939,4,02
4,1.2692396205207344,5,02
5,1.235992364808566,6,02
6,1.236941231954222,7,02
7,1.248898787509818,8,02
8,1.2320471379622022,9,02
9,1.256075810684324,10,02
10,1.2902503575162079,11,02
11,0.9777074983997511,12,02
12,1.1485388372833507,1,03
13,1.5937062943205396,2,03
14,1.426556092105902,3,03
15,1.2660402947100824,4,03
16,1.189598282359072,5,03
17,1.1706459831128624,6,03
18,1.197765460145191,7,03
19,1.2070673574968653,8,03
20,1.269714542592675,9,03
21,1.3154411858425594,10,03
22,1.3914990330226884,11,03
23,1.2081194308995202,12,03
24,0.24600047125471375,1,04
25,1.1937785021009182,2,04
26,1.1679131549630994,3,04
27,1.1129132119165346,4,04
28,1.1052284796461291,5,04
29,1.110746817355459,6,04
30,1.1032175800006876,7,04
31,1.0850114280660268,8,04
32,1.06413128480357,9,04
33,1.0823579396995566,10,04
34,1.0994281573347593,11,04
35,0.2215926133609871,12,04
36,0.3910327534907716,1,06
37,1.3605526213708699,2,06
38,1.236149420465267,3,06
39,1.1883208527734899,4,06
40,1.1340783130541996,5,06
41,1.1264111379845108,6,06
42,1.1230144587115107,7,06
43,1.1406786374875102,8,06
44,1.154855874491323,9,06
45,1.1519888465333719,10,06
46,1.1849249532696677,11,06
47,0.4803410037028251,12,06
48,0.4794577848551114,1,08
49,1.4453858761813831,2,08
50,1.3122208808366522,3,08
51,1.2366919545255202,4,08
52,1.2025620211870554,5,08
53,1.1597272396740566,6,08
54,1.120408744329745,7,08
55,1.099920381624844,8,08
56,1.1368409763254737,9,08
57,1.180203146776563,10,08
58,1.232214537274997,11,08
59,0.24301974501594212,12,08
60,0.5030915959228076,1,09
61,1.4012746765124104,2,09
62,1.265252679412158,3,09
63,1.2586252360813024,4,09
64,1.197173142374608,5,09
65,1.1557050923617278,6,09
66,1.145923484137093,7,09
67,1.126954373058787,8,09
68,1.099838350780911,9,09
69,1.132899233431754,10,09
70,1.1418830792360786,11,09
71,0.45778077436600756,12,09
72,0.721041879319961,1,10
73,1.6827779108609904,2,10
74,1.5227517951742402,3,10
75,1.352351363975208,4,10
76,1.267808079280209,5,10
77,1.2240627465346707,6,10
78,1.2035037815799856,7,10
79,1.196671891222981,8,10
80,1.2108513776310483,9,10
81,1.236604941542354,10,10
82,1.29533319755528,11,10
83,1.042215669522043,12,10
84,0.21260466052272084,1,12
85,1.2487248640835387,2,12
86,1.1908087742388294,3,12
87,1.1380800212584263,4,12
88,1.0903738732250647,5,12
89,1.0781509980039556,6,12
90,1.1095800177573825,7,12
91,1.1011087576130791,8,12
92,1.1355752471444116,9,12
93,1.1948322918866652,10,12
94,1.2266349775310434,11,12
95,0.8693930234933605,12,12
96,0.2720618788077409,1,14
97,1.3789786652637006,2,14
98,1.2635017227547345,3,14
99,1.1781068344100905,4,14
100,1.1224844166591161,5,14
101,1.1133826628218844,6,14
102,1.1271246695549244,7,14
103,1.0929472316588213,8,14
104,1.0859038982155056,9,14
105,1.125439299007612,10,14
106,1.1548065716681573,11,14
107,0.7131178879411201,12,14
108,0.39754413405419753,1,15
109,1.5014268304925216,2,15
110,1.3378201379039951,3,15
111,1.2136088022479878,4,15
112,1.179116685186759,5,15
113,1.2145431343740207,6,15
114,1.2109902413029738,7,15
115,1.2010348137803297,8,15
116,1.1675719434080636,9,15
117,1.2096732466585265,10,15
118,1.263628764858189,11,15
119,0.844341912640223,12,15
120,0.276303210049109,1,18
121,1.2491053842897117,2,18
122,1.2385298630458537,3,18
123,1.1954769419239057,4,18
124,1.1301829116989812,5,18
125,1.1336261850851792,6,18
126,1.1025732174264509,7,18
127,1.108664895505511,8,18
128,1.108151096424646,9,18
129,1.0945172303193595,10,18
130,1.1225261574781709,11,18
131,0.12972464074961107,12,18
132,0.06630429830584461,1,20
133,1.1089749808898322,2,20
134,1.13760108590141,3,20
135,1.0749178406356257,4,20
136,1.076920089690338,5,20
137,1.05573649322679,6,20
138,1.0384509724243116,7,20
139,1.0182765482919138,8,20
140,1.0153593475208111,9,20
141,1.0249975004457357,10,20
142,1.0659507428438182,11,20
143,0.767365846501002,12,20
144,0.6678871480310596,1,22
145,1.8585597439619994,2,22
146,1.6081333424597695,3,22
147,1.4794017001132802,4,22
148,1.3776479116449027,5,22
149,1.336800326574817,6,22
150,1.3176507505476451,7,22
151,1.3022070473666991,8,22
152,1.3891738288168358,9,22
153,1.4202055088748526,10,22
154,1.5398484038375821,11,22
155,0.7954254066190327,12,22
156,0.39244633522010725,1,25
157,1.4478117900686311,2,25
158,1.3081692136822929,3,25
159,1.2401319570723865,4,25
160,1.186107929542091,5,25
161,1.1536824465855766,6,25
162,1.1562600740986493,7,25
163,1.17540678992816,8,25
164,1.1798109074113403,9,25
165,1.1921603835716585,10,25
166,1.2767455654313196,11,25
167,0.5040326188065924,12,25
168,1.153728348389564,1,27
169,2.343053359814022,2,27
170,1.7640430852008175,3,27
171,1.5413822725468,4,27
172,1.429386655605516,5,27
173,1.3689800036478956,6,27
174,1.3535349311266882,7,27
175,1.3575323930496461,8,27
176,1.3803617657737413,9,27
177,1.4480339599469758,10,27
178,1.5946250960828443,11,27
179,1.3694139605132623,12,27
180,0.5890261817529343,1,29
181,1.5029286622269078,2,29
182,1.323620896720332,3,29
183,1.225457097036182,4,29
184,1.179588235341525,5,29
185,1.1265316037204922,6,29
186,1.1024913903654,7,29
187,1.1003664814732954,8,29
188,1.0699209793358921,9,29
189,1.1072194346066175,10,29
190,1.1562270271613566,11,29
191,0.8359121613947573,12,29
192,0.14506455377178246,1,31
193,1.0667610008517434,2,31
194,1.1172662622455467,3,31
195,1.0877788658778704,4,31
196,1.0753024047561595,5,31
197,1.0492533098000556,6,31
198,1.0522700133060028,7,31
199,1.0368646090538194,8,31
200,1.0518350133033927,9,31
201,1.0617035713067207,10,31
202,1.1161752292558629,11,31
203,0.6026008129191157,12,31
204,0.43523431783868716,1,17
205,1.677648584297193,2,17
206,1.4192914605751061,3,17
207,1.301255081765937,4,17
208,1.2870783491468298,5,17
209,1.2586044426615441,6,17
210,1.232635076335831,7,17
211,1.2266091145623965,8,17
212,1.2243594393251305,9,17
213,1.262479922920469,10,17
214,1.348336630607529,11,17
