,Dimensionality,Layer,Subject
0,0.7507184736835143,1,02
1,0.7341587829958645,2,02
2,0.7001337857359631,3,02
3,0.6718099367795265,4,02
4,0.6075308270403535,5,02
5,0.5978895029748369,6,02
6,0.5912813657068449,7,02
7,0.6669320841378047,8,02
8,0.6422834183637101,9,02
9,0.6418501961847475,10,02
10,0.6377957961007665,11,02
11,0.6328470381214598,12,02
12,1.148538837283353,1,03
13,1.2376014421177046,2,03
14,1.291043903295933,3,03
15,1.319639674602928,4,03
16,1.342050253789073,5,03
17,1.2544448449141097,6,03
18,1.2099118722546018,7,03
19,1.1990620467014734,8,03
20,1.1960264042168345,9,03
21,1.2841775297363598,10,03
22,1.2812912119165687,11,03
23,0.7701959511706835,12,03
24,0.24600047125471383,1,04
25,0.21252505945334754,2,04
26,0.17830630772068284,3,04
27,0.18131012396768928,4,04
28,0.1557163564364874,5,04
29,0.16564021912426113,6,04
30,0.17620142051791535,7,04
31,0.17200984617830734,8,04
32,0.16497499411767783,9,04
33,0.1568435551975382,10,04
34,0.14101203143438812,11,04
35,0.12015676857453766,12,04
36,0.391032753490771,1,06
37,0.3469175764215694,2,06
38,0.32444051638369015,3,06
39,0.3559193148059517,4,06
40,0.4191371773766133,5,06
41,0.4427060830610034,6,06
42,0.38961502063783837,7,06
43,0.3230116760967171,8,06
44,0.30615688854282197,9,06
45,0.3247819472787286,10,06
46,0.27928099189524425,11,06
47,0.5507519520429053,12,06
48,0.47945778485512036,1,08
49,0.44245748103057136,2,08
50,0.40858594701638795,3,08
51,0.38408315084191225,4,08
52,0.3297908592756924,5,08
53,0.34419189817804524,6,08
54,0.3420801843534169,7,08
55,0.35167416386436245,8,08
56,0.31830197290939555,9,08
57,0.26252119035387567,10,08
58,0.3071919216361075,11,08
59,0.42614923650898867,12,08
60,0.5030915959228064,1,09
61,0.4740941510521426,2,09
62,0.44344742320387626,3,09
63,0.44430182611771035,4,09
64,0.46466200764157894,5,09
65,0.47450311646010584,6,09
66,0.44139509601286103,7,09
67,0.43541655137827134,8,09
68,0.40637547686991615,9,09
69,0.3347759847674603,10,09
70,0.31300101832336397,11,09
71,0.37969120048618343,12,09
72,0.7210418793199637,1,10
73,0.7308647658387746,2,10
74,0.7005423707803937,3,10
75,0.7101684159362566,4,10
76,0.6911721905793016,5,10
77,0.6807165719285979,6,10
78,0.710860895683626,7,10
79,0.734303621499961,8,10
80,0.8032656932156402,9,10
81,0.7233831357427173,10,10
82,0.7835752600616901,11,10
83,0.8755726965593524,12,10
84,0.21260466052272367,1,12
85,0.20525389683908407,2,12
86,0.19362713502564974,3,12
87,0.1641970530641785,4,12
88,0.2025552282421168,5,12
89,0.19552231643421833,6,12
90,0.20393918114155002,7,12
91,0.2341045938289384,8,12
92,0.2510292000681635,9,12
93,0.2590533356007298,10,12
94,0.21717914952340892,11,12
95,0.6307490555138244,12,12
96,0.27206187880774424,1,14
97,0.22129229653191368,2,14
98,0.15811556356406975,3,14
99,0.12906909536462544,4,14
100,0.14459166049171698,5,14
101,0.11592036842827615,6,14
102,0.11089412321652627,7,14
103,0.14680795046674086,8,14
104,0.16017497937706762,9,14
105,0.20420152824809154,10,14
106,0.16645117018480776,11,14
107,0.5222642786473541,12,14
108,0.3975441340542015,1,15
109,0.3745702779496795,2,15
110,0.3544921400339015,3,15
111,0.36640819502730926,4,15
112,0.3282006981908515,5,15
113,0.3358463146096084,6,15
114,0.339741136397661,7,15
115,0.3308309338108929,8,15
116,0.3013543770190214,9,15
117,0.30702697159796627,10,15
118,0.3056983125539438,11,15
119,0.45353872145503027,12,15
120,0.2763032100491094,1,18
121,0.27178083421416244,2,18
122,0.23954277904046198,3,18
123,0.22792901278017014,4,18
124,0.2546482585372219,5,18
125,0.2797264125884783,6,18
126,0.3009620510966636,7,18
127,0.3158978408799017,8,18
128,0.3138625221677682,9,18
129,0.29654196195823296,10,18
130,0.2939874943797929,11,18
131,0.10048405610662352,12,18
132,0.06630429830584532,1,20
133,0.04479028963785362,2,20
134,0.04774892855425605,3,20
135,0.055173766974083806,4,20
136,0.038804437420789074,5,20
137,0.05680338804802068,6,20
138,0.04048159100389563,7,20
139,0.01953981118579539,8,20
140,0.02488809085260169,9,20
141,0.019509173415348635,10,20
142,0.024448992153156643,11,20
143,0.8137468132155732,12,20
144,0.6678871480310565,1,22
145,0.6387372612361384,2,22
146,0.6339633577011076,3,22
147,0.6739031859574073,4,22
148,0.6916129795077539,5,22
149,0.6462314582084947,6,22
150,0.6116417316237575,7,22
151,0.5270261505618867,8,22
152,0.5057589534213865,9,22
