,Dimensionality,Layer,Subject
0,0.7507184736835143,1,02
1,1.482029949108335,2,02
2,1.3382099327678267,3,02
3,1.2481779068931023,4,02
4,1.2053815095288538,5,02
5,1.1816966050884257,6,02
6,1.185945302182285,7,02
7,1.2018281747484014,8,02
8,1.197396861805984,9,02
9,1.2211031364218123,10,02
10,1.2318362196964536,11,02
11,0.7060986029930658,12,02
12,1.148538837283353,1,03
13,1.4826723569443767,2,03
14,1.3399189060242715,3,03
15,1.2464115690358486,4,03
16,1.2164436314938354,5,03
17,1.2186476849166532,6,03
18,1.2239734540120026,7,03
19,1.237000921753282,8,03
20,1.2650984408917931,9,03
21,1.2835076203754578,10,03
22,1.3344298655646347,11,03
23,1.0562955687609834,12,03
24,0.24600047125471383,1,04
25,1.14712607346801,2,04
26,1.115458574387278,3,04
27,1.0898412079001296,4,04
28,1.0656171783116632,5,04
29,1.048643128651684,6,04
30,1.0305269076200583,7,04
31,1.0168965155717262,8,04
32,1.0077192402428816,9,04
33,1.0093015752461452,10,04
34,1.009821879443555,11,04
35,0.26905085791252203,12,04
36,0.391032753490771,1,06
37,1.439462916148506,2,06
38,1.3023335603713015,3,06
39,1.2259681153626254,4,06
40,1.1944238969166954,5,06
41,1.1554371583392193,6,06
42,1.1542986174995449,7,06
43,1.149595133853964,8,06
44,1.157148731765747,9,06
45,1.151185619100624,10,06
46,1.1631747119988634,11,06
47,0.48525475691723485,12,06
48,0.47945778485512036,1,08
49,1.4761229129381004,2,08
50,1.3004264636462015,3,08
51,1.2133893683740589,4,08
52,1.1593223999713265,5,08
53,1.1357959386999328,6,08
54,1.1296833105310895,7,08
55,1.1284747881832762,8,08
56,1.1255989133481472,9,08
57,1.1323261345218973,10,08
58,1.141405143590908,11,08
59,0.23436850746184887,12,08
60,0.5030915959228064,1,09
61,1.4910291496415644,2,09
62,1.3283117897339438,3,09
63,1.2403774009226145,4,09
64,1.2213780044059603,5,09
65,1.2028159194419246,6,09
66,1.193942039310461,7,09
67,1.1809412453294141,8,09
68,1.1633322526892722,9,09
69,1.1618716273129426,10,09
70,1.1606607165299756,11,09
71,0.4610993625821346,12,09
72,0.7210418793199637,1,10
73,1.7033944051762102,2,10
74,1.4457603686374156,3,10
75,1.3314983449349636,4,10
76,1.279896500986855,5,10
77,1.2357448624001168,6,10
78,1.2186203781515679,7,10
79,1.2109420555827886,8,10
80,1.2170522445269434,9,10
81,1.2248031063850604,10,10
82,1.2080119418392596,11,10
83,1.147574018880542,12,10
84,0.21260466052272367,1,12
85,1.24930904649449,2,12
86,1.171836695149737,3,12
87,1.1420305240689226,4,12
88,1.1029180944924963,5,12
89,1.0971531828718688,6,12
90,1.1083619390022412,7,12
91,1.1292907001222052,8,12
92,1.1452019713272958,9,12
93,1.1716698811431372,10,12
94,1.1874267897166657,11,12
95,0.7406307978468836,12,12
96,0.27206187880774424,1,14
97,1.4026525379753185,2,14
98,1.2878195596406894,3,14
99,1.2111805545671894,4,14
100,1.1629230275739857,5,14
101,1.1491332447731144,6,14
102,1.1533605119289352,7,14
103,1.1457457329705425,8,14
104,1.138221295247982,9,14
105,1.134269904128751,10,14
106,1.1297318855455767,11,14
107,0.7304235556926044,12,14
108,0.3975441340542015,1,15
109,1.4626932971412376,2,15
110,1.3173706221741768,3,15
111,1.2536609433788954,4,15
112,1.2140642859059332,5,15
113,1.178045469815867,6,15
114,1.1536509079185566,7,15
115,1.1512853561307343,8,15
116,1.144436895565586,9,15
117,1.1397082696473713,10,15
118,1.1347650412040085,11,15
119,0.7629445019190587,12,15
120,0.2763032100491094,1,18
121,1.254170015318602,2,18
122,1.2222795537760767,3,18
123,1.1613540253093968,4,18
124,1.1363051573575202,5,18
125,1.1245638976113033,6,18
126,1.1161487601612206,7,18
127,1.101782846647874,8,18
128,1.0918736378501477,9,18
129,1.084795721307912,10,18
130,1.0827532349852238,11,18
131,0.22251265886192576,12,18
132,0.06630429830584532,1,20
133,1.2171374918652567,2,20
134,1.1347303807943963,3,20
135,1.119857069993843,4,20
136,1.1218694669167655,5,20
137,1.1323054915462518,6,20
138,1.1506014467275063,7,20
139,1.1540691855247616,8,20
140,1.1547790898307237,9,20
141,1.15354368168979,10,20
142,1.1577772649729305,11,20
143,0.7734281664017312,12,20
144,0.6678871480310565,1,22
145,1.8075524697092444,2,22
146,1.5027753429129977,3,22
147,1.377483349638859,4,22
148,1.3077422055225112,5,22
149,1.2900211818871168,6,22
150,1.286846840927458,7,22
151,1.29451695296981,8,22
152,1.3174767553681284,9,22
153,1.3469471449658172,10,22
154,1.3807199463616058,11,22
155,0.8730385032771716,12,22
156,0.39244633522010486,1,25
157,1.3869556233327154,2,25
158,1.2964904914836652,3,25
159,1.230269195371694,4,25
160,1.1994601767132658,5,25
161,1.1804548919320286,6,25
162,1.1715533529820217,7,25
163,1.1777546594403163,8,25
164,1.1794449293132718,9,25
165,1.1841630183163763,10,25
166,1.2040439442816866,11,25
167,0.5694682934652723,12,25
168,1.1537283483895684,1,27
169,2.4295205660643098,2,27
170,1.832157563993319,3,27
171,1.5843177611465085,4,27
172,1.4473274622743655,5,27
173,1.3823735042765843,6,27
174,1.3543964527272931,7,27
175,1.3452827535926337,8,27
176,1.3560315880017373,9,27
177,1.356890587166296,10,27
178,1.3670087282485226,11,27
179,1.439077623782307,12,27
180,0.5890261817529386,1,29
181,1.5617952104566275,2,29
182,1.3385242904712884,3,29
183,1.2472540564820502,4,29
184,1.2029258719108464,5,29
185,1.1762192826678772,6,29
186,1.1615117454059714,7,29
187,1.1492469977087276,8,29
188,1.145579298639521,9,29
189,1.1481381699800317,10,29
190,1.1433023972316496,11,29
191,0.9030429947663402,12,29
192,0.1450645537717797,1,31
193,1.0502321338521783,2,31
194,1.0912982746494286,3,31
195,1.10150615270773,4,31
196,1.1078327006888586,5,31
197,1.1099041513138785,6,31
198,1.1039909673858972,7,31
199,1.120304376901465,8,31
200,1.1264490401002745,9,31
201,1.1481792359856218,10,31
202,1.1542345607481637,11,31
203,0.6228926954444323,12,31
204,0.4352343178386893,1,17
205,1.7769692306789693,2,17
206,1.5143087225819731,3,17
207,1.3850425920292433,4,17
208,1.3215368895033304,5,17
209,1.3106526941643242,6,17
210,1.2978962590222314,7,17
211,1.2920027714975055,8,17
212,1.2851948104392652,9,17
213,1.2910555867660514,10,17
214,1.2989895311354407,11,17
215,0.8550570447763566,12,17
216,0.32593965930105623,1,19
217,1.4509877453950992,2,19
218,1.3818677546709117,3,19
219,1.2866407397176278,4,19
220,1.2415624339367044,5,19
221,1.2079637242991534,6,19
222,1.1734287492303874,7,19
223,1.1450949597311029,8,19
224,1.1308482871808139,9,19
225,1.1185840471417576,10,19
226,1.133174388129627,11,19
227,0.5131956697621781,12,19
228,0.10515111924474453,1,21
229,1.1771261147184526,2,21
230,1.1451694974299338,3,21
231,1.1155117060174522,4,21
232,1.0943988439130181,5,21
233,1.0850746835570304,6,21
234,1.068078826807539,7,21
235,1.0606517763838754,8,21
236,1.0571717954747966,9,21
237,1.0419409972168272,10,21
238,1.0451160216759952,11,21
239,0.06267221190098267,12,21
240,0.5686411593773493,1,24
241,1.7224223533702756,2,24
242,1.5378085309993823,3,24
243,1.4033554930819863,4,24
244,1.3216419912636455,5,24
245,1.2720330482581315,6,24
246,1.246767475686563,7,24
247,1.242588394297646,8,24
248,1.2385489193435553,9,24
249,1.234307837532863,10,24
250,1.253190893276277,11,24
251,1.7101790993971104,12,24
252,0.745993408796251,1,26
253,1.7904507023778535,2,26
254,1.4712363103323296,3,26
255,1.3189263811394811,4,26
256,1.2597535127383912,5,26
257,1.2124276437019177,6,26
258,1.1841752381314692,7,26
259,1.1704150185851954,8,26
260,1.1429919108070372,9,26
261,1.1303168810590247,10,26
262,1.1442333752247715,11,26
263,0.6404714905869653,12,26
264,0.14195463436922956,1,28
265,1.0807618069967337,2,28
266,1.0858385648594948,3,28
267,1.0764400712957216,4,28
268,1.069875793957849,5,28
269,1.058168885415523,6,28
270,1.0548309953164543,7,28
271,1.0410988389066866,8,28
272,1.0347042184910806,9,28
273,1.0444348373441552,10,28
274,1.0423373805682536,11,28
275,0.0003502528651727381,12,28
276,0.15489195231330397,1,30
277,1.1443427620888822,2,30
278,1.1283351843075966,3,30
279,1.0945040506366484,4,30
280,1.0892007206077,5,30
281,1.0858066276163871,6,30
282,1.0779030894433204,7,30
283,1.0664525019004973,8,30
284,1.0513202237281623,9,30
285,1.047868367934652,10,30
286,1.048638113354737,11,30
287,0.10224046708350969,12,30
