,Dimensionality,Layer,Subject
0,0.7507184736835143,1,02
1,0.7155190379121374,2,02
2,0.712324771243241,3,02
3,0.7599392677448011,4,02
4,0.8422737506497406,5,02
5,0.9822919842651434,6,02
6,0.903386368304735,7,02
7,0.8356149149047769,8,02
8,0.7543501617958883,9,02
9,0.6926135224940934,10,02
10,0.6857603451283408,11,02
11,0.6745363271027327,12,02
12,1.148538837283353,1,03
13,1.132129365700088,2,03
14,1.161591678978397,3,03
15,1.1779687912794383,4,03
16,1.2083148497389713,5,03
17,1.2013568698166879,6,03
18,1.2150246010306895,7,03
19,1.2318506070830684,8,03
20,1.0970186700687776,9,03
21,0.9247732556070526,10,03
22,0.7681836081812264,11,03
23,0.7043457690146645,12,03
24,0.24600047125471383,1,04
25,0.26926496915547504,2,04
26,0.2635173027818283,3,04
27,0.25100058074473997,4,04
28,0.2541156274550649,5,04
29,0.19377063290602653,6,04
30,0.08685126465876866,7,04
31,0.04393245188366533,8,04
32,0.03365584781086435,9,04
33,0.049247889567903685,10,04
34,0.06925232926442582,11,04
35,0.14443306179812473,12,04
36,0.391032753490771,1,06
37,0.3670362871485278,2,06
38,0.3700524648239231,3,06
39,0.42675184760437845,4,06
40,0.49436298352301034,5,06
41,0.5498265968950193,6,06
42,0.5105096550191432,7,06
43,0.5352570110840938,8,06
44,0.5892429208696238,9,06
45,0.6413017780344248,10,06
46,0.6940269931562595,11,06
47,0.5488273831883326,12,06
48,0.47945778485512036,1,08
49,0.506345610675546,2,08
50,0.5215609323854987,3,08
51,0.5286408903131689,4,08
52,0.5817737795710802,5,08
53,0.5603989590898097,6,08
54,0.5699431428110546,7,08
55,0.5292618404187442,8,08
56,0.47018939668524395,9,08
57,0.3951576430048845,10,08
58,0.38454367867499406,11,08
59,0.42766729492069067,12,08
60,0.5030915959228064,1,09
61,0.45912326858328784,2,09
62,0.4876082639199594,3,09
63,0.46348335485304004,4,09
64,0.5262993135189649,5,09
65,0.4997174315772421,6,09
66,0.4412539577097662,7,09
67,0.3848999523407561,8,09
68,0.28899880083667845,9,09
69,0.22912095175113248,10,09
70,0.29167374086772613,11,09
71,0.4059406454543318,12,09
72,0.7210418793199637,1,10
