,Dimensionality,Layer,Subject
0,0.7507184736835143,1,02
1,0.8187983928822197,2,02
2,0.9354145944196137,3,02
3,1.0004765485237213,4,02
4,0.882938694980082,5,02
5,0.8762785625603442,6,02
6,0.8976644580045384,7,02
7,0.9746195410573758,8,02
8,0.9463625544876065,9,02
9,0.8612136316428471,10,02
10,0.740605117835246,11,02
11,0.5707232727209247,12,02
12,1.148538837283353,1,03
13,1.1539986337457289,2,03
14,1.1332361313555455,3,03
15,0.997233102022264,4,03
16,0.7557575464216691,5,03
17,0.5818050535330677,6,03
18,0.5169794260823901,7,03
19,0.5081159234217236,8,03
20,0.5105377121344605,9,03
21,0.5292394396678649,10,03
22,0.5548385231511097,11,03
23,0.7229561290282446,12,03
24,0.24600047125471383,1,04
25,0.2521970756798435,2,04
26,0.23076952039590173,3,04
27,0.1937914081857903,4,04
28,0.11901649606118564,5,04
29,0.08240441864253792,6,04
30,0.07124344619017077,7,04
31,0.09141722181828187,8,04
32,0.11316928707278395,9,04
33,0.1548830869151129,10,04
34,0.1587537502727153,11,04
35,0.1600715489590051,12,04
36,0.391032753490771,1,06
37,0.39684220569488476,2,06
38,0.45242932284942206,3,06
39,0.4388532746930436,4,06
40,0.3131013109861276,5,06
41,0.25880163521829624,6,06
42,0.21547500788299237,7,06
43,0.19078418237948766,8,06
44,0.1429463584542383,9,06
45,0.11122799506448638,10,06
46,0.11229899914362006,11,06
47,0.547786055097413,12,06
48,0.47945778485512036,1,08
49,0.43810805388925483,2,08
50,0.49698251879007466,3,08
51,0.4578621860891668,4,08
52,0.3770175663872987,5,08
53,0.31845470937084186,6,08
54,0.2824567427201402,7,08
55,0.2682517794368092,8,08
56,0.2446126865853922,9,08
57,0.23970796084352783,10,08
58,0.2249509707483792,11,08
59,0.3424938969742138,12,08
60,0.5030915959228064,1,09
61,0.514394276739202,2,09
62,0.5397620860832224,3,09
63,0.5461893622778057,4,09
64,0.4684883197245941,5,09
65,0.4525607335047239,6,09
66,0.3982346063664944,7,09
67,0.312344682297004,8,09
68,0.25342240898638246,9,09
69,0.20889093858253513,10,09
70,0.17137107842985597,11,09
71,0.4144648648643613,12,09
72,0.7210418793199637,1,10
73,0.7528476499297106,2,10
74,0.8654627510792391,3,10
75,0.8779667108184429,4,10
76,0.6843871840735619,5,10
77,0.4870388554309175,6,10
78,0.34768715323510824,7,10
79,0.28244911599098804,8,10
80,0.2771043003981844,9,10
81,0.33175491192539003,10,10
82,0.4389727974115939,11,10
83,0.9720976986375149,12,10
84,0.21260466052272367,1,12
85,0.21706625909935437,2,12
86,0.24984255359230878,3,12
87,0.25322618885299597,4,12
88,0.2011228638936181,5,12
89,0.14231854116170947,6,12
90,0.10602207674799397,7,12
91,0.08212312335145901,8,12
92,0.08981357899880102,9,12
93,0.1293570630610398,10,12
94,0.2137865453165923,11,12
95,0.7050777059363831,12,12
96,0.27206187880774424,1,14
97,0.24865063536674195,2,14
98,0.22653033830840325,3,14
99,0.14947213423067054,4,14
100,0.09559511714258395,5,14
101,0.07526492317061545,6,14
102,0.14953532748698245,7,14
103,0.25434989210126546,8,14
104,0.33932269203826737,9,14
105,0.4056316824882879,10,14
106,0.45921762927831206,11,14
107,0.5296717199504869,12,14
108,0.3975441340542015,1,15
109,0.418608872028382,2,15
110,0.4160276271739219,3,15
111,0.441663012266796,4,15
112,0.3049813868210548,5,15
113,0.1750263411728879,6,15
114,0.10171250507554218,7,15
115,0.07358191698746594,8,15
116,0.06995076552338794,9,15
117,0.0817816921171325,10,15
118,0.15040594992395268,11,15
119,0.4826905661137745,12,15
120,0.2763032100491094,1,18
121,0.2650524884296384,2,18
122,0.26052994895507636,3,18
123,0.1940081590128231,4,18
124,0.1389825953247503,5,18
125,0.12738659831768376,6,18
126,0.12025177343125654,7,18
127,0.13476325280588083,8,18
128,0.11742804260360247,9,18
129,0.12725132034292966,10,18
130,0.11537661422857261,11,18
131,0.11518580799028667,12,18
132,0.06630429830584532,1,20
133,0.060002656533850986,2,20
134,0.09639421917617795,3,20
135,0.1533071195927663,4,20
136,0.1686489797961421,5,20
137,0.19579191160860157,6,20
138,0.2762752113592601,7,20
139,0.30695616036011797,8,20
140,0.3627823781195115,9,20
141,0.5031950487589605,10,20
142,0.6434526961420982,11,20
143,0.6747151983411617,12,20
144,0.6678871480310565,1,22
145,0.5555801549701221,2,22
146,0.5222231398594127,3,22
147,0.4855028774606084,4,22
148,0.450379565897654,5,22
149,0.4817632287115007,6,22
150,0.5806732051152109,7,22
151,0.6450311105543823,8,22
152,0.680504632260404,9,22
153,0.7404057564955249,10,22
154,0.7824214733734254,11,22
155,0.6161069091693173,12,22
156,0.39244633522010486,1,25
157,0.4225583514578898,2,25
158,0.4061705464834181,3,25
159,0.5106981359186004,4,25
160,0.5466219505605862,5,25
161,0.5055907070762284,6,25
162,0.4541796181184029,7,25
163,0.4386461776489593,8,25
164,0.42388004269691454,9,25
165,0.4391141833099064,10,25
166,0.4786957529637707,11,25
167,0.4087807439928358,12,25
168,1.1537283483895684,1,27
169,1.2067596875269933,2,27
170,1.3701578532583336,3,27
171,1.5779679093501524,4,27
172,1.7338507513181078,5,27
173,1.773051311881191,6,27
174,1.58470006337206,7,27
175,1.388400031891834,8,27
176,1.2421471763912926,9,27
177,1.1112705642771115,10,27
178,1.0696627003147046,11,27
179,1.1093489190508892,12,27
180,0.5890261817529386,1,29
181,0.6219162312864791,2,29
182,0.6746568657789281,3,29
183,0.7657803368885582,4,29
184,0.8059978339691378,5,29
185,0.7976237956913753,6,29
186,0.7163037248078865,7,29
187,0.7142179260704542,8,29
188,0.716467191568531,9,29
189,0.7600990603081346,10,29
190,0.772080273067828,11,29
191,0.8354114098075232,12,29
192,0.1450645537717797,1,31
193,0.15591760465825483,2,31
194,0.13883821422690443,3,31
195,0.17631458054757077,4,31
196,0.23495780538988884,5,31
197,0.23440144906948626,6,31
198,0.1943873767845051,7,31
199,0.1823393871990753,8,31
200,0.18030374613773098,9,31
201,0.21288662766373065,10,31
202,0.26635419529474175,11,31
203,0.5197441495906309,12,31
204,0.4352343178386893,1,17
205,0.5198927574149113,2,17
206,0.5260961028782195,3,17
207,0.4432990684143204,4,17
208,0.3822150473726555,5,17
209,0.33594081180902396,6,17
210,0.33197765614285124,7,17
211,0.3255403628104763,8,17
212,0.3308648329422439,9,17
213,0.3602546293700278,10,17
214,0.412015320371514,11,17
215,0.9262495164818821,12,17
216,0.32593965930105623,1,19
217,0.36130705284343123,2,19
218,0.44602957505258156,3,19
219,0.4937863638932273,4,19
220,0.4932759999432125,5,19
221,0.46225291391615336,6,19
222,0.398086450383798,7,19
223,0.3070002989622356,8,19
224,0.24301023209945197,9,19
225,0.1854440082041165,10,19
226,0.14885136424655115,11,19
227,0.47748179870658486,12,19
228,0.10515111924474453,1,21
229,0.11000649413896085,2,21
230,0.10034974635120586,3,21
231,0.13172114713369681,4,21
232,0.13675808198421824,5,21
233,0.1582668955695123,6,21
234,0.15042198853018043,7,21
235,0.13035703079730007,8,21
236,0.09489109532861228,9,21
237,0.05339799353027935,10,21
238,0.037511257013116854,11,21
239,0.0793703768865929,12,21
240,0.5686411593773493,1,24
241,0.6112602168072127,2,24
242,0.7396164947622274,3,24
243,0.821646647076803,4,24
244,0.8644579225566726,5,24
245,0.7869206475616122,6,24
246,0.7369849271014679,7,24
247,0.6946495037208008,8,24
248,0.7158455529481205,9,24
249,0.9169608836966935,10,24
250,1.0422430881571207,11,24
251,1.356515724162589,12,24
252,0.745993408796251,1,26
253,0.7411181259601219,2,26
254,0.7890341977511266,3,26
255,0.8838920735125705,4,26
256,0.9086788330496155,5,26
257,0.8225699852448274,6,26
258,0.8071594996608562,7,26
259,0.727561569555038,8,26
260,0.700555952276924,9,26
261,0.6547903785845909,10,26
262,0.5176926115888886,11,26
263,0.5553465209577745,12,26
264,0.14195463436922956,1,28
265,0.1610193494264153,2,28
266,0.14570878056360045,3,28
267,0.1439588458030024,4,28
268,0.1554261581520833,5,28
269,0.09605151355710864,6,28
270,0.03738527969972755,7,28
271,0.0158347863345944,8,28
272,0.0008244684736321922,9,28
273,0.013806329697705429,10,28
274,0.04926380029196073,11,28
275,0.0006339945855691555,12,28
276,0.15489195231330397,1,30
277,0.15641698052641356,2,30
278,0.1632402204764121,3,30
279,0.14835796093203168,4,30
280,0.10779435463622725,5,30
281,0.09216581572743304,6,30
282,0.08745867248655927,7,30
283,0.0622693656918606,8,30
284,0.05126154506417471,9,30
285,0.043046758981447115,10,30
286,0.032226243208911085,11,30
287,0.06783141626179189,12,30
